source_file,method_id,train_dataset,test_dataset,model,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,44,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,45,200,55.0,,,55.0,0.1,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,46,240,49.6,,,49.6,-0.008,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,47,200,62.0,,,62.0,0.24,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,48,200,54.0,,,54.0,0.08,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,49,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,50,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,51,200,52.0,,,52.0,0.04,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,lee2019,cho2017,csp_lda,,52,200,55.0,,,55.0,0.1,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,1,200,66.5,,,66.5,0.33,68.5,68.5,0.37,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,2,200,59.5,,,59.5,0.19,56.0,56.0,0.12,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,3,200,70.5,,,70.5,0.41,72.0,72.0,0.44,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,4,200,52.0,,,52.0,0.04,56.0,56.0,0.12,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,5,200,70.0,,,70.0,0.4,73.5,73.5,0.47,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,6,200,54.5,,,54.5,0.09,54.5,54.5,0.09,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,7,200,57.5,,,57.5,0.15,57.0,57.0,0.14,,,,,,,,,
