source_file,method_id,eval_type,train_dataset,test_dataset,model,n_subjects,mean_acc,mean_precision_macro,mean_f1_macro,mean_bac,mean_kappa
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_lee2019_to_cho2017_cspnetcontrastive.csv,20260604,adabn,lee2019,cho2017,cspnetcontrastive,52,56.5,,,56.5,0.13
loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,base,lee2019,cho2017,csp_lda,52,52.7558,,,52.7558,0.0551
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_lee2019_to_cho2017_cspnetcontrastive.csv,20260604,base,lee2019,cho2017,cspnetcontrastive,52,56.9115,,,56.9115,0.1382
loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,base,lee2019,cho2017,csp_lda,52,63.9481,,,63.9481,0.279
loso_results_20260604_cross_stdmi_datasetea_ea_dsbn_con_cross_lee2019_to_cho2017_cspnetcontrastive.csv,20260604,base,lee2019,cho2017,cspnetcontrastive,52,57.4308,,,57.4308,0.1486
loso_results_20260604_cross_stdmi_datasetea_ea_pseudo080_cspnet_cross_lee2019_to_cho2017_cspnet.csv,20260604,base,lee2019,cho2017,cspnet,52,60.5365,,,60.5365,0.2107
loso_results_20260604_cross_stdmi_datasetea_ea_pseudo085_cspnet_cross_lee2019_to_cho2017_cspnet.csv,20260604,base,lee2019,cho2017,cspnet,52,56.3231,,,56.3231,0.1264
loso_results_20260604_cross_stdmi_datasetea_ea_pseudo090_cspnet_cross_lee2019_to_cho2017_cspnet.csv,20260604,base,lee2019,cho2017,cspnet,52,51.4865,,,51.4865,0.0297
loso_results_20260604_cross_stdmi_datasetea_ea_weight_tau01_cspnet_cross_lee2019_to_cho2017_cspnet.csv,20260604,base,lee2019,cho2017,cspnet,52,59.3731,,,59.3731,0.1875
loso_results_20260604_cross_stdmi_datasetea_ea_weight_tau05_cspnet_cross_lee2019_to_cho2017_cspnet.csv,20260604,base,lee2019,cho2017,cspnet,52,58.4038,,,58.4038,0.1681
