dataset,feature,target,n,rho,p
lee2019,beta_hemi_asym_right,original_acc,54,0.5016867753641102,0.00011122144666107164
lee2019,beta_hemi_asym_right,best_generalization_acc,54,0.4602306320337715,0.00046254558450463986
lee2019,beta_hemi_asym_right,best_delta,54,-0.2210741160472313,0.10816607929838935
lee2019,beta_hemi_asym_diff,original_acc,54,-0.6939981332937459,5.926222066608831e-09
lee2019,beta_hemi_asym_diff,best_generalization_acc,54,-0.6657390671612513,3.95330817715487e-08
lee2019,beta_hemi_asym_diff,best_delta,54,0.08071988680096391,0.5617552731483171
lee2019,beta_hemi_asym_absdiff,original_acc,54,0.6174166629110625,6.596212057064623e-07
lee2019,beta_hemi_asym_absdiff,best_generalization_acc,54,0.5935766728566103,2.2375916518298592e-06
lee2019,beta_hemi_asym_absdiff,best_delta,54,-0.08655368117061316,0.5337287540326736
lee2019,beta_contra_desync_index,original_acc,54,0.6939981332937459,5.926222066608831e-09
lee2019,beta_contra_desync_index,best_generalization_acc,54,0.6657390671612513,3.95330817715487e-08
lee2019,beta_contra_desync_index,best_delta,54,-0.08071988680096391,0.5617552731483171
lee2019,beta_sensorimotor_logpower,original_acc,54,0.06571749872560792,0.6368310616894586
lee2019,beta_sensorimotor_logpower,best_generalization_acc,54,0.08329362469922892,0.5493058109647468
lee2019,beta_sensorimotor_logpower,best_delta,54,0.15793187110514523,0.2540458599105295
lee2019,beta_sensorimotor_vs_all,original_acc,54,0.3298454271883326,0.014861466657639918
lee2019,beta_sensorimotor_vs_all,best_generalization_acc,54,0.3366053574801791,0.012819286105674186
lee2019,beta_sensorimotor_vs_all,best_delta,54,0.023945247478037474,0.8635411421089146
lee2019,beta_left_right_balance_abs,original_acc,54,0.08024091346717209,0.5640866484955456
lee2019,beta_left_right_balance_abs,best_generalization_acc,54,0.05832459761547837,0.6752710982339345
lee2019,beta_left_right_balance_abs,best_delta,54,-0.12453053863578085,0.36961449875261565
lee2019,beta_class_sensorimotor_absdiff,original_acc,54,-0.026912154350509976,0.8468253387030489
lee2019,beta_class_sensorimotor_absdiff,best_generalization_acc,54,-0.04063661507065356,0.7704776681725481
lee2019,beta_class_sensorimotor_absdiff,best_delta,54,-0.09715364741089089,0.4846261514205904
lee2019,mu_beta_hemi_asym_left,original_acc,54,-0.14576781619879625,0.29292044968786113
lee2019,mu_beta_hemi_asym_left,best_generalization_acc,54,-0.17939578848264134,0.194288226247079
lee2019,mu_beta_hemi_asym_left,best_delta,54,-0.2307971066633134,0.09313760007738921
lee2019,mu_beta_hemi_asym_right,original_acc,54,0.5799454904938508,4.30957211857247e-06
lee2019,mu_beta_hemi_asym_right,best_generalization_acc,54,0.5593443273280485,1.0991264498877875e-05
lee2019,mu_beta_hemi_asym_right,best_delta,54,-0.16616781609759124,0.2297987785207999
lee2019,mu_beta_hemi_asym_diff,original_acc,54,-0.8159033310457727,5.6736741282437555e-14
lee2019,mu_beta_hemi_asym_diff,best_generalization_acc,54,-0.8325169198198903,6.0319220820991975e-15
lee2019,mu_beta_hemi_asym_diff,best_delta,54,-0.04766171870628478,0.7321702545095323
lee2019,mu_beta_hemi_asym_absdiff,original_acc,54,0.803819545027201,2.526149019012015e-13
lee2019,mu_beta_hemi_asym_absdiff,best_generalization_acc,54,0.8235585665913692,2.0794362855493953e-14
lee2019,mu_beta_hemi_asym_absdiff,best_delta,54,0.06992927368586102,0.6153405230356915
lee2019,mu_beta_contra_desync_index,original_acc,54,0.8159033310457727,5.6736741282437555e-14
lee2019,mu_beta_contra_desync_index,best_generalization_acc,54,0.8325169198198903,6.0319220820991975e-15
lee2019,mu_beta_contra_desync_index,best_delta,54,0.04766171870628478,0.7321702545095323
lee2019,mu_beta_sensorimotor_logpower,original_acc,54,0.14046924756604712,0.3110052186187923
lee2019,mu_beta_sensorimotor_logpower,best_generalization_acc,54,0.20040026775462078,0.14623411476561643
lee2019,mu_beta_sensorimotor_logpower,best_delta,54,0.2766286153712768,0.04287402535333841
lee2019,mu_beta_sensorimotor_vs_all,original_acc,54,0.46063239826000363,0.00045658863619343437
lee2019,mu_beta_sensorimotor_vs_all,best_generalization_acc,54,0.4484132299025308,0.000672501483126767
lee2019,mu_beta_sensorimotor_vs_all,best_delta,54,0.04911063495495583,0.7243459417496663
lee2019,mu_beta_left_right_balance_abs,original_acc,54,0.14672079616871517,0.28974205495187927
lee2019,mu_beta_left_right_balance_abs,best_generalization_acc,54,0.1490136288097418,0.28218765818037006
lee2019,mu_beta_left_right_balance_abs,best_delta,54,-0.05650773369817123,0.6848501408506977
lee2019,mu_beta_class_sensorimotor_absdiff,original_acc,54,0.050393580809311875,0.7174411167327298
lee2019,mu_beta_class_sensorimotor_absdiff,best_generalization_acc,54,0.05172972481320533,0.7102737360353811
lee2019,mu_beta_class_sensorimotor_absdiff,best_delta,54,0.0030122206222371974,0.9827532269682492
