dataset,subject,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,27,55.0,56.0,49.833333333333336,57.5,54.333333333333336,True,False,6.166666666666664,False,4.5,False,5.166666666666664,False,7.666666666666664,False,True,0,57.5,Snapshot,7.666666666666664
cho2017,28,49.666666666666664,49.333333333333336,51.666666666666664,47.5,49.333333333333336,True,False,-2.3333333333333286,False,-2.3333333333333286,False,-2.0,False,-4.166666666666664,False,True,0,49.666666666666664,AdaBN,-2.0
cho2017,29,58.833333333333336,60.666666666666664,61.166666666666664,56.333333333333336,58.166666666666664,True,False,-0.5,False,-3.0,False,-2.3333333333333286,False,-4.833333333333329,False,True,0,60.666666666666664,EA,-0.5
cho2017,30,66.66666666666667,63.333333333333336,61.166666666666664,65.5,65.5,True,False,2.1666666666666714,False,4.333333333333336,False,5.500000000000007,False,4.333333333333336,False,True,0,66.66666666666667,AdaBN,5.500000000000007
cho2017,31,70.33333333333333,66.5,62.5,71.66666666666667,71.33333333333333,True,False,4.0,True,8.833333333333329,True,7.833333333333329,True,9.166666666666671,True,False,3,71.66666666666667,Snapshot,9.166666666666671
cho2017,32,52.666666666666664,54.5,54.166666666666664,54.0,52.0,True,False,0.3333333333333357,False,-2.1666666666666643,False,-1.5,False,-0.1666666666666643,False,True,0,54.5,EA,0.3333333333333357
cho2017,33,66.33333333333333,67.83333333333333,62.833333333333336,65.0,70.33333333333333,True,False,4.999999999999993,True,7.499999999999993,False,3.499999999999993,False,2.1666666666666643,True,False,1,70.33333333333333,TENT,7.499999999999993
cho2017,34,52.333333333333336,55.0,51.0,52.0,54.5,True,False,4.0,False,3.5,False,1.3333333333333357,False,1.0,False,True,0,55.0,EA,4.0
cho2017,35,56.833333333333336,60.5,56.166666666666664,60.166666666666664,58.5,True,False,4.333333333333336,False,2.3333333333333357,False,0.6666666666666714,False,4.0,False,True,0,60.5,EA,4.333333333333336
cho2017,36,70.5,71.16666666666667,68.83333333333333,67.16666666666667,70.5,True,True,2.333333333333343,True,1.6666666666666714,True,1.6666666666666714,False,-1.6666666666666572,True,False,3,71.16666666666667,EA,2.333333333333343
cho2017,37,50.333333333333336,51.166666666666664,51.166666666666664,49.333333333333336,52.0,True,False,0.0,False,0.8333333333333357,False,-0.8333333333333286,False,-1.8333333333333286,False,True,0,52.0,TENT,0.8333333333333357
cho2017,38,69.33333333333333,67.83333333333333,59.833333333333336,62.0,65.16666666666667,True,False,7.999999999999993,False,5.333333333333336,False,9.499999999999993,False,2.1666666666666643,False,True,0,69.33333333333333,AdaBN,9.499999999999993
cho2017,39,76.33333333333333,75.16666666666667,51.333333333333336,75.33333333333333,70.83333333333333,True,True,23.833333333333336,True,19.499999999999993,True,24.999999999999993,True,23.999999999999993,True,False,4,76.33333333333333,AdaBN,24.999999999999993
cho2017,40,52.333333333333336,54.0,50.666666666666664,53.833333333333336,51.166666666666664,True,False,3.3333333333333357,False,0.5,False,1.6666666666666714,False,3.1666666666666714,False,True,0,54.0,EA,3.3333333333333357
cho2017,41,95.16666666666667,94.16666666666667,92.0,93.0,94.0,False,True,2.1666666666666714,True,2.0,True,3.1666666666666714,True,1.0,True,False,4,95.16666666666667,AdaBN,3.1666666666666714
cho2017,42,67.83333333333333,66.0,69.16666666666667,67.83333333333333,67.5,True,False,-3.1666666666666714,False,-1.6666666666666714,False,-1.3333333333333428,False,-1.3333333333333428,False,True,0,67.83333333333333,AdaBN,-1.3333333333333428
cho2017,43,96.5,97.16666666666667,97.16666666666667,97.16666666666667,97.0,False,True,0.0,True,-0.1666666666666714,True,-0.6666666666666714,True,0.0,True,False,4,97.16666666666667,EA,0.0
cho2017,44,75.83333333333333,76.0,71.33333333333333,76.83333333333333,73.66666666666667,False,True,4.666666666666671,True,2.333333333333343,True,4.5,True,5.5,True,False,4,76.83333333333333,Snapshot,5.5
cho2017,45,67.0,68.0,63.166666666666664,64.83333333333333,65.66666666666667,True,False,4.833333333333336,False,2.500000000000007,False,3.8333333333333357,False,1.6666666666666643,False,True,0,68.0,EA,4.833333333333336
cho2017,46,81.66666666666667,77.2222,71.5278,80.56666666666666,77.08333333333333,False,True,5.694400000000002,True,5.555533333333329,True,10.138866666666672,True,9.038866666666664,True,False,4,81.66666666666667,AdaBN,10.138866666666672
cho2017,47,74.66666666666667,72.83333333333333,67.5,72.0,73.5,True,True,5.333333333333329,True,6.0,True,7.166666666666671,True,4.5,True,False,4,74.66666666666667,AdaBN,7.166666666666671
cho2017,48,93.0,92.66666666666667,90.0,93.5,91.83333333333333,False,True,2.6666666666666714,True,1.8333333333333286,True,3.0,True,3.5,True,False,4,93.5,Snapshot,3.5
