dataset,subject,backbone,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,35,CSPNet,54.5,57.5,58.0,58.0,59.0,True,False,-0.5,False,1.0,False,-3.5,False,0.0,False,True,0,59.0,TENT,1.0
cho2017,35,Conformer,61.0,63.5,54.5,61.5,57.0,True,False,9.0,False,2.5,False,6.5,False,7.0,False,True,0,63.5,EA,9.0
cho2017,35,EEGNet,55.0,60.5,56.0,61.0,59.5,True,False,4.5,False,3.5,False,-1.0,False,5.0,False,True,0,61.0,Snapshot,5.0
cho2017,36,CSPNet,73.5,71.5,67.5,68.5,69.0,True,True,4.0,False,1.5,True,6.0,False,1.0,True,False,2,73.5,AdaBN,6.0
cho2017,36,Conformer,70.0,73.0,71.5,64.5,75.0,False,True,1.5,True,3.5,True,-1.5,False,-7.0,True,False,3,75.0,TENT,3.5
cho2017,36,EEGNet,68.0,69.0,67.5,68.5,67.5,True,False,1.5,False,0.0,False,0.5,False,1.0,False,True,0,69.0,EA,1.5
cho2017,37,CSPNet,54.0,57.0,50.5,51.0,54.5,True,False,6.5,False,4.0,False,3.5,False,0.5,False,True,0,57.0,EA,6.5
cho2017,37,Conformer,52.5,47.5,53.0,49.5,50.0,True,False,-5.5,False,-3.0,False,-0.5,False,-3.5,False,True,0,52.5,AdaBN,-0.5
cho2017,37,EEGNet,44.5,49.0,50.0,47.5,51.5,True,False,-1.0,False,1.5,False,-5.5,False,-2.5,False,True,0,51.5,TENT,1.5
cho2017,38,CSPNet,71.0,69.5,52.5,70.0,68.0,True,False,17.0,False,15.5,True,18.5,True,17.5,True,False,2,71.0,AdaBN,18.5
cho2017,38,Conformer,67.0,62.0,63.0,55.5,58.5,True,False,-1.0,False,-4.5,False,4.0,False,-7.5,False,True,0,67.0,AdaBN,4.0
cho2017,38,EEGNet,70.0,72.0,64.0,60.5,69.0,True,True,8.0,False,5.0,True,6.0,False,-3.5,True,False,2,72.0,EA,8.0
cho2017,39,CSPNet,76.0,79.5,50.5,78.5,79.5,True,True,29.0,True,29.0,True,25.5,True,28.0,True,False,4,79.5,EA,29.0
cho2017,39,Conformer,73.5,71.5,50.5,75.0,60.5,True,True,21.0,False,10.0,True,23.0,True,24.5,True,False,3,75.0,Snapshot,24.5
cho2017,39,EEGNet,79.5,74.5,53.0,72.5,72.5,True,True,21.5,True,19.5,True,26.5,True,19.5,True,False,4,79.5,AdaBN,26.5
cho2017,40,CSPNet,50.0,54.0,52.0,53.0,52.0,True,False,2.0,False,0.0,False,-2.0,False,1.0,False,True,0,54.0,EA,2.0
cho2017,40,Conformer,52.0,55.0,47.5,54.5,52.0,True,False,7.5,False,4.5,False,4.5,False,7.0,False,True,0,55.0,EA,7.5
cho2017,40,EEGNet,55.0,53.0,52.5,54.0,49.5,True,False,0.5,False,-3.0,False,2.5,False,1.5,False,True,0,55.0,AdaBN,2.5
cho2017,41,CSPNet,96.0,96.5,90.5,92.5,95.0,False,True,6.0,True,4.5,True,5.5,True,2.0,True,False,4,96.5,EA,6.0
cho2017,41,Conformer,94.0,89.0,91.5,91.0,92.0,False,True,-2.5,True,0.5,True,2.5,True,-0.5,True,False,4,94.0,AdaBN,2.5
cho2017,41,EEGNet,95.5,97.0,94.0,95.5,95.0,False,True,3.0,True,1.0,True,1.5,True,1.5,True,False,4,97.0,EA,3.0
cho2017,42,CSPNet,70.0,67.5,70.5,67.0,69.0,False,False,-3.0,False,-1.5,True,-0.5,False,-3.5,True,False,1,70.0,AdaBN,-0.5
cho2017,42,Conformer,65.5,66.5,65.0,65.5,71.0,True,False,1.5,True,6.0,False,0.5,False,0.5,True,False,1,71.0,TENT,6.0
cho2017,42,EEGNet,68.0,64.0,72.0,71.0,62.5,False,False,-8.0,False,-9.5,False,-4.0,True,-1.0,True,False,1,71.0,Snapshot,-1.0
cho2017,43,CSPNet,96.0,97.0,96.5,96.5,97.5,False,True,0.5,True,1.0,True,-0.5,True,0.0,True,False,4,97.5,TENT,1.0
cho2017,43,Conformer,97.5,97.5,98.0,98.0,97.0,False,True,-0.5,True,-1.0,True,-0.5,True,0.0,True,False,4,98.0,Snapshot,0.0
cho2017,43,EEGNet,96.0,97.0,97.0,97.0,96.5,False,True,0.0,True,-0.5,True,-1.0,True,0.0,True,False,4,97.0,EA,0.0
