group,baseline,candidate,dataset,feature,n,rho,p
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,source_pool_sim_weight,52,0.041402101451944645,0.7707284463077687
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,baseline_acc,54,-0.35286659040864043,0.008867213374341001
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,cov_condition_num,54,-0.22885809002064963,0.09599681062083656
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,source_pool_mean_dist,54,-0.08969951881972647,0.518905828171222
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,source_pool_min_dist,54,-0.10366127761256236,0.4557032894623221
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,source_pool_knn3_dist,54,-0.0925683733661996,0.5055704081344843
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,source_pool_knn5_dist,54,-0.10197821627863145,0.4630918288269006
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,source_pool_knn10_dist,54,-0.12316948852857962,0.3749098885652876
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,lee2019,source_pool_sim_weight,54,0.08969951881972647,0.518905828171222
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,baseline_acc,52,-0.04726381494075017,0.7393417678770546
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,cov_condition_num,52,0.29851919962603035,0.03158667871833309
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,source_pool_mean_dist,52,0.1345559049860744,0.34158213552100425
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,source_pool_min_dist,52,0.29223593468544806,0.03553156788897091
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,source_pool_knn3_dist,52,0.2752241017170689,0.048297193784231016
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,source_pool_knn5_dist,52,0.28155010995656665,0.043172222983032776
