train_dataset,test_dataset,subject,common_n_channels,source_dataset_mean_dist,source_dataset_min_dist,source_dataset_knn3_dist,source_dataset_knn5_dist,source_dataset_knn10_dist,source_dataset_sim_weight
cho2017,lee2019,42,48,0.2360976947106554,0.048401406864450054,0.06648351587134395,0.07334122528236726,0.08474366785897192,41.9483152111095
cho2017,lee2019,43,48,0.23614331118118295,0.04843540428166983,0.06652802265341519,0.07338428593241932,0.08478655711509056,41.94641503065307
cho2017,lee2019,44,48,0.23615656563960938,0.04844614773698649,0.06654015162998263,0.07339678778325572,0.0847993439453615,41.94585649965536
cho2017,lee2019,45,48,0.2362171050406095,0.04849430976001894,0.0666007368942352,0.07345514692464303,0.08485736357663315,41.94333224089186
cho2017,lee2019,46,48,0.23579571970170476,0.04816676046445546,0.0661857038765395,0.07305187438902988,0.08445756768628107,41.96095207322666
cho2017,lee2019,47,48,0.2359462222670165,0.04826799234795742,0.06633015723376734,0.07319003916689047,0.08459493299516864,41.95466568864918
cho2017,lee2019,48,48,0.23603481468658524,0.0483509039637571,0.06642026742114097,0.07328038952595313,0.0846832732237732,41.950949757943874
cho2017,lee2019,49,48,0.23618109888652877,0.0484688689813456,0.06656542440016687,0.07342126732769227,0.08482353582178079,41.94483138923748
cho2017,lee2019,50,48,0.23621804433257435,0.04849585337309683,0.06660235908533285,0.0734568972218397,0.08485833201040772,41.94329575769117
cho2017,lee2019,51,48,0.2361398665932099,0.04843434386868878,0.0665252130463142,0.07338177247039987,0.08478369718845608,41.946551885381105
cho2017,lee2019,52,48,0.2360879289441491,0.04839207650802964,0.06647267030841407,0.07333057071896819,0.08473330555868504,41.94874247521638
cho2017,lee2019,53,48,0.23609324346782756,0.04838838657193529,0.06647823645460074,0.07333438742677664,0.0847363302612236,41.9485277884779
cho2017,lee2019,54,48,0.23609185024344403,0.04839077059023324,0.0664765886143481,0.07333442956959553,0.08473619270017273,41.94856571818169
lee2019,cho2017,1,48,0.3049035139673981,0.3045759991641293,0.3046378837533354,0.3046751831993236,0.30474666960690167,39.8085031723994
lee2019,cho2017,2,48,0.1098982477333145,0.1095950533109644,0.10965431602831162,0.10968317749320444,0.10974822794357175,48.37996602228405
lee2019,cho2017,3,48,0.1482481613087148,0.14793101256902708,0.14798374764226183,0.14801879359140774,0.14809113697501505,46.55972465814683
lee2019,cho2017,4,48,0.25141089016314166,0.2510679797922296,0.25113624669071527,0.2511726087080805,0.2512458365827962,41.99594899983266
lee2019,cho2017,5,48,0.11812090084697059,0.117852612288246,0.11789749354249997,0.11792098335666017,0.11798402127743417,47.983785374874195
lee2019,cho2017,6,48,0.04841239078987823,0.048166760464456414,0.04820518042361994,0.04822770638198706,0.04828519900722847,51.44800359706444
