train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnet,14,200,70.0,70.0,0.4,89.0,89.0,0.78,,,,74.5,74.5,0.49,83.0,83.0,0.66
lee2019,cho2017,cspnet,15,200,63.0,63.0,0.26,64.5,64.5,0.29,,,,67.5,67.5,0.35,67.0,67.0,0.34
lee2019,cho2017,cspnet,16,200,54.5,54.5,0.09,55.0,55.0,0.1,,,,53.0,53.0,0.06,57.0,57.0,0.14
lee2019,cho2017,cspnet,17,200,53.0,53.0,0.06,50.0,50.0,0.0,,,,52.0,52.0,0.04,50.5,50.5,0.01
lee2019,cho2017,cspnet,18,200,59.5,59.5,0.19,59.5,59.5,0.19,,,,57.0,57.0,0.14,59.5,59.5,0.19
lee2019,cho2017,cspnet,19,200,64.0,64.0,0.28,64.0,64.0,0.28,,,,61.0,61.0,0.22,63.5,63.5,0.27
lee2019,cho2017,cspnet,20,200,58.5,58.5,0.17,67.0,67.0,0.34,,,,64.0,64.0,0.28,63.5,63.5,0.27
lee2019,cho2017,cspnet,21,200,62.5,62.5,0.25,65.5,65.5,0.31,,,,62.5,62.5,0.25,62.5,62.5,0.25
lee2019,cho2017,cspnet,22,200,60.5,60.5,0.21,68.0,68.0,0.36,,,,62.0,62.0,0.24,64.5,64.5,0.29
lee2019,cho2017,cspnet,23,200,79.5,79.5,0.59,88.0,88.0,0.76,,,,82.0,82.0,0.64,81.0,81.0,0.62
lee2019,cho2017,cspnet,24,200,58.0,58.0,0.16,58.5,58.5,0.17,,,,54.0,54.0,0.08,56.5,56.5,0.13
lee2019,cho2017,cspnet,25,200,68.0,68.0,0.36,77.0,77.0,0.54,,,,67.0,67.0,0.34,74.0,74.0,0.48
lee2019,cho2017,cspnet,26,200,52.5,52.5,0.05,59.0,59.0,0.18,,,,60.5,60.5,0.21,60.0,60.0,0.2
lee2019,cho2017,cspnet,27,200,54.0,54.0,0.08,54.5,54.5,0.09,,,,49.0,49.0,-0.02,51.0,51.0,0.02
lee2019,cho2017,cspnet,28,200,46.5,46.5,-0.07,46.0,46.0,-0.08,,,,49.5,49.5,-0.01,50.0,50.0,0.0
lee2019,cho2017,cspnet,29,200,52.5,52.5,0.05,51.0,51.0,0.02,,,,51.5,51.5,0.03,55.0,55.0,0.1
lee2019,cho2017,cspnet,30,200,56.0,56.0,0.12,65.5,65.5,0.31,,,,60.0,60.0,0.2,65.0,65.0,0.3
lee2019,cho2017,cspnet,31,200,56.0,56.0,0.12,61.0,61.0,0.22,,,,52.0,52.0,0.04,59.0,59.0,0.18
lee2019,cho2017,cspnet,32,200,46.0,46.0,-0.08,45.0,45.0,-0.1,,,,46.0,46.0,-0.08,44.5,44.5,-0.11
lee2019,cho2017,cspnet,33,200,58.5,58.5,0.17,60.5,60.5,0.21,,,,59.0,59.0,0.18,59.5,59.5,0.19
lee2019,cho2017,cspnet,34,200,52.5,52.5,0.05,48.0,48.0,-0.04,,,,54.5,54.5,0.09,54.5,54.5,0.09
lee2019,cho2017,cspnet,35,200,59.0,59.0,0.18,55.0,55.0,0.1,,,,58.0,58.0,0.16,53.0,53.0,0.06
lee2019,cho2017,cspnet,36,200,68.5,68.5,0.37,68.0,68.0,0.36,,,,65.0,65.0,0.3,67.0,67.0,0.34
lee2019,cho2017,cspnet,37,200,46.5,46.5,-0.07,47.0,47.0,-0.06,,,,41.0,41.0,-0.18,44.0,44.0,-0.12
lee2019,cho2017,cspnet,38,200,52.0,52.0,0.04,57.5,57.5,0.15,,,,56.5,56.5,0.13,56.5,56.5,0.13
lee2019,cho2017,cspnet,39,200,71.5,71.5,0.43,72.0,72.0,0.44,,,,66.5,66.5,0.33,67.0,67.0,0.34
lee2019,cho2017,cspnet,40,200,48.0,48.0,-0.04,46.5,46.5,-0.07,,,,49.5,49.5,-0.01,48.5,48.5,-0.03
lee2019,cho2017,cspnet,41,200,77.0,77.0,0.54,92.0,92.0,0.84,,,,84.5,84.5,0.69,89.0,89.0,0.78
lee2019,cho2017,cspnet,42,200,58.5,58.5,0.17,62.5,62.5,0.25,,,,58.5,58.5,0.17,61.5,61.5,0.23
lee2019,cho2017,cspnet,43,200,82.5,82.5,0.65,89.0,89.0,0.78,,,,85.0,85.0,0.7,90.0,90.0,0.8
lee2019,cho2017,cspnet,44,200,69.0,69.0,0.38,75.0,75.0,0.5,,,,67.5,67.5,0.35,69.5,69.5,0.39
lee2019,cho2017,cspnet,45,200,58.5,58.5,0.17,65.0,65.0,0.3,,,,62.5,62.5,0.25,63.5,63.5,0.27
lee2019,cho2017,cspnet,46,240,65.8,65.8,0.317,73.8,73.8,0.475,,,,65.8,65.8,0.317,67.1,67.1,0.342
lee2019,cho2017,cspnet,47,200,60.0,60.0,0.2,65.0,65.0,0.3,,,,61.0,61.0,0.22,63.5,63.5,0.27
lee2019,cho2017,cspnet,48,200,76.0,76.0,0.52,88.0,88.0,0.76,,,,82.5,82.5,0.65,84.5,84.5,0.69
lee2019,cho2017,cspnet,49,200,56.0,56.0,0.12,61.0,61.0,0.22,,,,60.0,60.0,0.2,65.0,65.0,0.3
lee2019,cho2017,cspnet,50,200,61.0,61.0,0.22,59.5,59.5,0.19,,,,52.0,52.0,0.04,58.0,58.0,0.16
lee2019,cho2017,cspnet,51,200,54.0,54.0,0.08,57.5,57.5,0.15,,,,55.5,55.5,0.11,57.0,57.0,0.14
lee2019,cho2017,cspnet,52,200,69.5,69.5,0.39,73.0,73.0,0.46,,,,69.5,69.5,0.39,72.0,72.0,0.44
