train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnet,28,200,52.0,52.0,0.04,,,,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,cspnet,29,200,54.5,54.5,0.09,,,,54.0,54.0,0.08,,,,,,
lee2019,cho2017,cspnet,30,200,70.0,70.0,0.4,,,,70.0,70.0,0.4,,,,,,
lee2019,cho2017,cspnet,31,200,68.0,68.0,0.36,,,,69.0,69.0,0.38,,,,,,
lee2019,cho2017,cspnet,32,200,49.0,49.0,-0.02,,,,51.0,51.0,0.02,,,,,,
lee2019,cho2017,cspnet,33,200,62.5,62.5,0.25,,,,62.5,62.5,0.25,,,,,,
lee2019,cho2017,cspnet,34,200,51.0,51.0,0.02,,,,52.0,52.0,0.04,,,,,,
lee2019,cho2017,cspnet,35,200,58.0,58.0,0.16,,,,55.0,55.0,0.1,,,,,,
lee2019,cho2017,cspnet,36,200,69.0,69.0,0.38,,,,68.0,68.0,0.36,,,,,,
lee2019,cho2017,cspnet,37,200,51.0,51.0,0.02,,,,51.5,51.5,0.03,,,,,,
lee2019,cho2017,cspnet,38,200,65.5,65.5,0.31,,,,64.5,64.5,0.29,,,,,,
lee2019,cho2017,cspnet,39,200,73.0,73.0,0.46,,,,72.0,72.0,0.44,,,,,,
lee2019,cho2017,cspnet,40,200,49.5,49.5,-0.01,,,,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnet,41,200,91.0,91.0,0.82,,,,91.0,91.0,0.82,,,,,,
lee2019,cho2017,cspnet,42,200,66.5,66.5,0.33,,,,66.0,66.0,0.32,,,,,,
lee2019,cho2017,cspnet,43,200,97.0,97.0,0.94,,,,97.5,97.5,0.95,,,,,,
lee2019,cho2017,cspnet,44,200,75.5,75.5,0.51,,,,76.0,76.0,0.52,,,,,,
lee2019,cho2017,cspnet,45,200,63.0,63.0,0.26,,,,63.5,63.5,0.27,,,,,,
lee2019,cho2017,cspnet,46,240,68.8,68.8,0.375,,,,69.2,69.2,0.383,,,,,,
lee2019,cho2017,cspnet,47,200,67.5,67.5,0.35,,,,67.0,67.0,0.34,,,,,,
lee2019,cho2017,cspnet,48,200,87.5,87.5,0.75,,,,87.0,87.0,0.74,,,,,,
lee2019,cho2017,cspnet,49,200,59.0,59.0,0.18,,,,59.0,59.0,0.18,,,,,,
lee2019,cho2017,cspnet,50,200,57.5,57.5,0.15,,,,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,51,200,64.5,64.5,0.29,,,,63.5,63.5,0.27,,,,,,
lee2019,cho2017,cspnet,52,200,77.0,77.0,0.54,,,,75.5,75.5,0.51,,,,,,
