"method","backbone","gen_method","dataset","n","mean_acc","sd_acc","median_acc","p10_acc","q1_acc","q3_acc","iqr_acc","min_acc","max_acc","coverage_ge_60_pct","coverage_ge_70_pct"
"ea_supcon_adabn_cspnet","CSPNet","EA+SupCon+AdaBN","lee2019","54","72.33","13.03","70.5","57","61.5","84.5","23","45.5","95.5","79.6","55.6"
"ea_supcon_coral_cspnet","CSPNet","EA+SupCon+CORAL","all","106","71.34","12.55","70","56.5","61.5","78","16.5","48","97.5","78.3","50.9"
"ea_supcon_coral_cspnet","CSPNet","EA+SupCon+CORAL","cho2017","52","71.43","12.48","69.5","55","64","78","14","48","97.5","78.8","50"
"ea_supcon_coral_cspnet","CSPNet","EA+SupCon+CORAL","lee2019","54","71.26","12.74","70","56.5","60.5","85","24.5","49","97.5","77.8","51.9"
"ea_supcon_cspnet","CSPNet","EA+SupCon","all","106","71.35","12.81","70.5","55.5","61","78.5","17.5","47","97.5","79.2","53.8"
"ea_supcon_cspnet","CSPNet","EA+SupCon","cho2017","52","71.23","12.57","71","54.5","62.5","78","15.5","49.5","97.5","76.9","57.7"
"ea_supcon_cspnet","CSPNet","EA+SupCon","lee2019","54","71.46","13.14","69.5","56","60.5","84.5","24","47","96","81.5","50"
"ea_tent_conformer","Conformer","EA+TENT","all","106","67.84","12.34","65","53","57","75","18","48.5","97.5","69.8","43.4"
"ea_tent_conformer","Conformer","EA+TENT","cho2017","52","66.88","12","64.5","52","57","74","17","48.5","97","65.4","40.4"
"ea_tent_conformer","Conformer","EA+TENT","lee2019","54","68.77","12.71","65","53","59","77","18","50.5","97.5","74.1","46.3"
"ea_tent_cspnet","CSPNet","EA+TENT","all","106","71.99","12.77","70.5","55","62","79.5","17.5","50","97.5","77.4","54.7"
"ea_tent_cspnet","CSPNet","EA+TENT","cho2017","52","71.45","12.82","70","54","62","78","16","50.5","97.5","76.9","51.9"
"ea_tent_cspnet","CSPNet","EA+TENT","lee2019","54","72.51","12.83","71","57.5","61.5","82.5","21","50","97","77.8","57.4"
"ea_tent_eegnet","EEGNet","EA+TENT","all","106","70.57","12.95","69","54","62","78","16","45","97.5","79.2","47.2"
"ea_tent_eegnet","EEGNet","EA+TENT","cho2017","52","69.39","12.59","69","53","61","75.5","14.5","49","96.5","76.9","46.2"
"ea_tent_eegnet","EEGNet","EA+TENT","lee2019","54","71.69","13.3","69","56.5","62","81.5","19.5","45","97.5","81.5","48.1"
"eegnet_noea","EEGNet","No EA","all","106","67.75","12.54","64.5","53","58.5","74.5","16","48","97","68.9","35.8"
"eegnet_noea","EEGNet","No EA","cho2017","52","65.93","12.38","63.5","52.5","57","72.5","15.5","48","97","65.4","28.8"
"eegnet_noea","EEGNet","No EA","lee2019","54","69.5","12.56","67.5","53.5","59.5","79.5","20","50.5","96","72.2","42.6"
