train_dataset,test_dataset,direction,subject,CSP-LDA baseline,DSA+SEA+SessionEA+SourceWeight+CSPNet,DatasetEA+SubjectEA+CSP-LDA,SessionEA+CSP-LDA,baseline_illiterate,DatasetEA+SubjectEA+CSP-LDA_pass70,DatasetEA+SubjectEA+CSP-LDA_delta,SessionEA+CSP-LDA_pass70,SessionEA+CSP-LDA_delta,DSA+SEA+SessionEA+SourceWeight+CSPNet_pass70,DSA+SEA+SessionEA+SourceWeight+CSPNet_delta,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta
lee2019,cho2017,lee2019->cho2017,1,54.5,67.5,63.5,70.5,True,False,9.0,True,16.0,False,13.0,True,False,1,70.5,SessionEA+CSP-LDA,16.0
lee2019,cho2017,lee2019->cho2017,2,50.0,55.5,56.0,53.0,True,False,6.0,False,3.0,False,5.5,False,True,0,56.0,DatasetEA+SubjectEA+CSP-LDA,6.0
lee2019,cho2017,lee2019->cho2017,3,74.5,94.5,86.5,91.0,False,True,12.0,True,16.5,True,20.0,True,False,3,94.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,20.0
lee2019,cho2017,lee2019->cho2017,4,68.5,92.0,83.0,83.5,True,True,14.5,True,15.0,True,23.5,True,False,3,92.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.5
lee2019,cho2017,lee2019->cho2017,5,54.0,67.0,60.0,60.5,True,False,6.0,False,6.5,False,13.0,False,True,0,67.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,13.0
lee2019,cho2017,lee2019->cho2017,6,50.5,57.0,55.0,58.0,True,False,4.5,False,7.5,False,6.5,False,True,0,58.0,SessionEA+CSP-LDA,7.5
lee2019,cho2017,lee2019->cho2017,7,48.8,61.3,55.4,53.75,True,False,6.600000000000001,False,4.950000000000003,False,12.5,False,True,0,61.3,DSA+SEA+SessionEA+SourceWeight+CSPNet,12.5
lee2019,cho2017,lee2019->cho2017,8,50.0,53.0,51.5,53.5,True,False,1.5,False,3.5,False,3.0,False,True,0,53.5,SessionEA+CSP-LDA,3.5
lee2019,cho2017,lee2019->cho2017,9,57.9,71.2,63.3,62.92,True,False,5.399999999999999,False,5.020000000000003,True,13.300000000000004,True,False,1,71.2,DSA+SEA+SessionEA+SourceWeight+CSPNet,13.300000000000004
lee2019,cho2017,lee2019->cho2017,10,52.0,85.5,76.5,79.5,True,True,24.5,True,27.5,True,33.5,True,False,3,85.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,33.5
