method,train_dataset,test_dataset,direction,subject,acc,bac,source_file
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,51,61.5,61.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,52,53.0,53.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,53,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,cho2017,lee2019,cho2017->lee2019,54,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,1,54.5,54.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,2,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,3,74.5,74.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,4,68.5,68.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,5,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,6,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,7,48.8,48.8,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,8,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,9,57.9,57.9,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
