method,direction,n_subjects,acc_mean,acc_std,precision_mean,precision_std,f1_mean,f1_std,kappa_mean,kappa_std,avg_acc,min_acc,avg_kappa
raw+unified,Cho->Lee,54,68.963,12.371,68.963,12.371,68.963,12.371,0.379,0.247,67.0315,65.1,0.3405
raw+unified,Lee->Cho,52,65.1,12.274,65.1,12.274,65.1,12.274,0.302,0.245,67.0315,65.1,0.3405
MMD-resample+CSP-LDA,Cho->Lee,54,69.0,12.283,69.0,12.283,69.0,12.283,0.38,0.246,67.001,65.002,0.33999999999999997
MMD-resample+CSP-LDA,Lee->Cho,52,65.002,12.447,65.002,12.447,65.002,12.447,0.3,0.249,67.001,65.002,0.33999999999999997
SourceSelect-k20+CSP-LDA,Cho->Lee,54,69.407,12.695,69.407,12.695,69.407,12.695,0.388,0.254,66.98400000000001,64.561,0.3395
SourceSelect-k20+CSP-LDA,Lee->Cho,52,64.561,12.878,64.561,12.878,64.561,12.878,0.291,0.258,66.98400000000001,64.561,0.3395
ZscoreBeforeEA+DatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.815,12.332,68.815,12.332,68.815,12.332,0.376,0.247,66.93549999999999,65.056,0.3385
ZscoreBeforeEA+DatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,65.056,12.214,65.056,12.214,65.056,12.214,0.301,0.244,66.93549999999999,65.056,0.3385
SourceSelect-k40+CSP-LDA,Cho->Lee,54,69.0,12.868,69.0,12.868,69.0,12.868,0.38,0.257,66.9125,64.825,0.3385
SourceSelect-k40+CSP-LDA,Lee->Cho,52,64.825,12.591,64.825,12.591,64.825,12.591,0.297,0.252,66.9125,64.825,0.3385
WeightedDatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.574,12.177,68.574,12.177,68.574,12.177,0.371,0.244,66.776,64.978,0.3355
WeightedDatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,64.978,12.236,64.978,12.236,64.978,12.236,0.3,0.245,66.776,64.978,0.3355
DatasetEA+Zscore+SubjectEA+CSP-LDA,Cho->Lee,54,68.102,12.322,68.102,12.322,68.102,12.322,0.362,0.246,66.52600000000001,64.95,0.3305
DatasetEA+Zscore+SubjectEA+CSP-LDA,Lee->Cho,52,64.95,12.316,64.95,12.316,64.95,12.316,0.299,0.246,66.52600000000001,64.95,0.3305
SourceSelect-k10+CSP-LDA,Cho->Lee,54,68.287,12.524,68.287,12.524,68.287,12.524,0.366,0.25,66.339,64.391,0.32699999999999996
SourceSelect-k10+CSP-LDA,Lee->Cho,52,64.391,13.092,64.391,13.092,64.391,13.092,0.288,0.262,66.339,64.391,0.32699999999999996
StdMI+DatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.102,12.376,68.102,12.376,68.102,12.376,0.362,0.248,66.025,63.948,0.3205
StdMI+DatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,63.948,11.796,63.948,11.796,63.948,11.796,0.279,0.236,66.025,63.948,0.3205
FrequencySpecificEA+CSP-LDA,Cho->Lee,54,67.185,11.974,67.185,11.974,67.185,11.974,0.344,0.239,64.67099999999999,62.157,0.2935
FrequencySpecificEA+CSP-LDA,Lee->Cho,52,62.157,10.327,62.157,10.327,62.157,10.327,0.243,0.207,64.67099999999999,62.157,0.2935
RiemannianDatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,64.25,11.913,64.25,11.913,64.25,11.913,0.285,0.238,61.570499999999996,58.891,0.23149999999999998
RiemannianDatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,58.891,10.395,58.891,10.395,58.891,10.395,0.178,0.208,61.570499999999996,58.891,0.23149999999999998
psd+DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Cho->Lee,54,62.287,10.018,62.287,10.018,62.287,10.018,0.246,0.2,61.408,60.529,0.22849999999999998
psd+DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Lee->Cho,52,60.529,8.992,60.529,8.992,60.529,8.992,0.211,0.18,61.408,60.529,0.22849999999999998
DatasetEA+SubjectEA+cspnet,Cho->Lee,54,62.352,9.505,62.352,9.505,62.352,9.505,0.247,0.19,61.269999999999996,60.188,0.22549999999999998
DatasetEA+SubjectEA+cspnet,Lee->Cho,52,60.188,8.606,60.188,8.606,60.188,8.606,0.204,0.172,61.269999999999996,60.188,0.22549999999999998
DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Cho->Lee,54,62.694,9.991,62.694,9.991,62.694,9.991,0.254,0.2,61.245000000000005,59.796,0.225
DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Lee->Cho,52,59.796,8.208,59.796,8.208,59.796,8.208,0.196,0.164,61.245000000000005,59.796,0.225
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.1+cspnet,Cho->Lee,54,62.889,8.995,62.889,8.995,62.889,8.995,0.258,0.18,61.131,59.373,0.223
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.1+cspnet,Lee->Cho,52,59.373,9.143,59.373,9.143,59.373,9.143,0.188,0.183,61.131,59.373,0.223
psd+DatasetEA+SubjectEA+adabn+con,Cho->Lee,54,62.019,9.867,62.019,9.867,62.019,9.867,0.24,0.197,61.049,60.079,0.221
psd+DatasetEA+SubjectEA+adabn+con,Lee->Cho,52,60.079,8.954,60.079,8.954,60.079,8.954,0.202,0.179,61.049,60.079,0.221
DatasetEA+SubjectEA+adabn+con,Cho->Lee,54,62.352,9.505,62.352,9.505,62.352,9.505,0.247,0.19,61.033500000000004,59.715,0.2205
