train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
cho2017,lee2019,session_ea_feature_coral_mmd_resample,39,200,84.0,84.12,83.99,84.0,0.68
cho2017,lee2019,session_ea_feature_coral_mmd_resample,40,200,60.0,60.02,59.98,60.0,0.2
cho2017,lee2019,session_ea_feature_coral_mmd_resample,41,200,62.5,62.5,62.5,62.5,0.25
cho2017,lee2019,session_ea_feature_coral_mmd_resample,42,200,66.0,66.0,66.0,66.0,0.32
cho2017,lee2019,session_ea_feature_coral_mmd_resample,43,200,74.5,74.52,74.49,74.5,0.49
cho2017,lee2019,session_ea_feature_coral_mmd_resample,44,200,86.0,86.0,86.0,86.0,0.72
cho2017,lee2019,session_ea_feature_coral_mmd_resample,45,200,77.5,77.52,77.49,77.5,0.55
cho2017,lee2019,session_ea_feature_coral_mmd_resample,46,200,72.0,72.14,71.96,72.0,0.44
cho2017,lee2019,session_ea_feature_coral_mmd_resample,47,200,67.0,67.0,67.0,67.0,0.34
cho2017,lee2019,session_ea_feature_coral_mmd_resample,48,200,56.0,56.0,56.0,56.0,0.12
cho2017,lee2019,session_ea_feature_coral_mmd_resample,49,200,75.0,75.04,74.99,75.0,0.5
cho2017,lee2019,session_ea_feature_coral_mmd_resample,50,200,57.0,57.0,57.0,57.0,0.14
cho2017,lee2019,session_ea_feature_coral_mmd_resample,51,200,60.5,60.5,60.5,60.5,0.21
cho2017,lee2019,session_ea_feature_coral_mmd_resample,52,200,70.0,70.0,70.0,70.0,0.4
cho2017,lee2019,session_ea_feature_coral_mmd_resample,53,200,63.5,63.51,63.49,63.5,0.27
cho2017,lee2019,session_ea_feature_coral_mmd_resample,54,200,58.0,58.01,57.98,58.0,0.16
