dataset,subject,backbone,method,acc
lee2019,16,EEGNet,TENT,65.0
lee2019,17,EEGNet,TENT,61.5
lee2019,18,EEGNet,TENT,93.0
lee2019,19,EEGNet,TENT,81.5
lee2019,20,EEGNet,TENT,74.0
lee2019,21,EEGNet,TENT,94.5
lee2019,22,EEGNet,TENT,78.0
lee2019,23,EEGNet,TENT,71.5
lee2019,24,EEGNet,TENT,57.5
lee2019,25,EEGNet,TENT,59.5
lee2019,26,EEGNet,TENT,63.5
lee2019,27,EEGNet,TENT,53.5
lee2019,28,EEGNet,TENT,87.5
lee2019,29,EEGNet,TENT,62.0
lee2019,30,EEGNet,TENT,65.5
lee2019,31,EEGNet,TENT,70.0
lee2019,32,EEGNet,TENT,92.5
lee2019,33,EEGNet,TENT,94.5
lee2019,34,EEGNet,TENT,45.0
lee2019,35,EEGNet,TENT,55.0
lee2019,36,EEGNet,TENT,94.5
lee2019,37,EEGNet,TENT,97.5
lee2019,38,EEGNet,TENT,66.0
lee2019,39,EEGNet,TENT,88.0
lee2019,40,EEGNet,TENT,63.0
lee2019,41,EEGNet,TENT,52.5
lee2019,42,EEGNet,TENT,72.0
lee2019,43,EEGNet,TENT,64.0
lee2019,44,EEGNet,TENT,90.0
lee2019,45,EEGNet,TENT,79.0
lee2019,46,EEGNet,TENT,77.0
lee2019,47,EEGNet,TENT,76.0
lee2019,48,EEGNet,TENT,57.0
lee2019,49,EEGNet,TENT,73.0
lee2019,50,EEGNet,TENT,60.0
lee2019,51,EEGNet,TENT,64.0
lee2019,52,EEGNet,TENT,66.5
lee2019,53,EEGNet,TENT,64.0
lee2019,54,EEGNet,TENT,62.5
cho2017,1,CSPNet,TENT,68.0
cho2017,2,CSPNet,TENT,56.0
cho2017,3,CSPNet,TENT,93.5
cho2017,4,CSPNet,TENT,90.5
cho2017,5,CSPNet,TENT,74.0
cho2017,6,CSPNet,TENT,62.0
cho2017,7,CSPNet,TENT,64.1667
cho2017,8,CSPNet,TENT,55.5
cho2017,9,CSPNet,TENT,72.5
cho2017,10,CSPNet,TENT,87.5
cho2017,11,CSPNet,TENT,68.0
cho2017,12,CSPNet,TENT,74.5
cho2017,13,CSPNet,TENT,52.0
cho2017,14,CSPNet,TENT,96.0
cho2017,15,CSPNet,TENT,78.0
cho2017,16,CSPNet,TENT,68.0
cho2017,17,CSPNet,TENT,55.0
cho2017,18,CSPNet,TENT,72.0
cho2017,19,CSPNet,TENT,72.5
cho2017,20,CSPNet,TENT,67.5
cho2017,21,CSPNet,TENT,85.0
cho2017,22,CSPNet,TENT,72.5
cho2017,23,CSPNet,TENT,90.0
cho2017,24,CSPNet,TENT,76.0
cho2017,25,CSPNet,TENT,79.5
cho2017,26,CSPNet,TENT,73.0
cho2017,27,CSPNet,TENT,54.0
cho2017,28,CSPNet,TENT,50.5
cho2017,29,CSPNet,TENT,59.0
cho2017,30,CSPNet,TENT,70.5
cho2017,31,CSPNet,TENT,69.5
cho2017,32,CSPNet,TENT,52.0
cho2017,33,CSPNet,TENT,69.5
cho2017,34,CSPNet,TENT,52.5
cho2017,35,CSPNet,TENT,59.0
cho2017,36,CSPNet,TENT,69.0
cho2017,37,CSPNet,TENT,54.5
cho2017,38,CSPNet,TENT,68.0
cho2017,39,CSPNet,TENT,79.5
cho2017,40,CSPNet,TENT,52.0
cho2017,41,CSPNet,TENT,95.0
cho2017,42,CSPNet,TENT,69.0
cho2017,43,CSPNet,TENT,97.5
cho2017,44,CSPNet,TENT,81.5
cho2017,45,CSPNet,TENT,70.5
cho2017,46,CSPNet,TENT,81.6667
cho2017,47,CSPNet,TENT,76.5
cho2017,48,CSPNet,TENT,95.5
cho2017,49,CSPNet,TENT,68.0
cho2017,50,CSPNet,TENT,69.5
cho2017,51,CSPNet,TENT,70.0
cho2017,52,CSPNet,TENT,78.0
lee2019,1,CSPNet,TENT,88.5
lee2019,2,CSPNet,TENT,77.0
lee2019,3,CSPNet,TENT,88.5
lee2019,4,CSPNet,TENT,59.0
lee2019,5,CSPNet,TENT,92.0
lee2019,6,CSPNet,TENT,71.5
lee2019,7,CSPNet,TENT,63.0
lee2019,8,CSPNet,TENT,75.5
lee2019,9,CSPNet,TENT,78.5
lee2019,10,CSPNet,TENT,69.5
lee2019,11,CSPNet,TENT,58.5
lee2019,12,CSPNet,TENT,70.5
lee2019,13,CSPNet,TENT,58.5
lee2019,14,CSPNet,TENT,85.0
lee2019,15,CSPNet,TENT,63.0
lee2019,16,CSPNet,TENT,61.0
lee2019,17,CSPNet,TENT,71.0
lee2019,18,CSPNet,TENT,86.0
lee2019,19,CSPNet,TENT,84.5
lee2019,20,CSPNet,TENT,71.0
lee2019,21,CSPNet,TENT,91.5
lee2019,22,CSPNet,TENT,77.5
lee2019,23,CSPNet,TENT,78.5
lee2019,24,CSPNet,TENT,56.5
lee2019,25,CSPNet,TENT,63.5
lee2019,26,CSPNet,TENT,63.5
lee2019,27,CSPNet,TENT,57.5
lee2019,28,CSPNet,TENT,91.0
lee2019,29,CSPNet,TENT,63.0
lee2019,30,CSPNet,TENT,74.0
lee2019,31,CSPNet,TENT,70.0
lee2019,32,CSPNet,TENT,96.5
lee2019,33,CSPNet,TENT,97.0
lee2019,34,CSPNet,TENT,50.0
lee2019,35,CSPNet,TENT,54.5
lee2019,36,CSPNet,TENT,95.5
lee2019,37,CSPNet,TENT,96.0
lee2019,38,CSPNet,TENT,54.5
lee2019,39,CSPNet,TENT,82.5
lee2019,40,CSPNet,TENT,64.0
lee2019,41,CSPNet,TENT,58.0
lee2019,42,CSPNet,TENT,72.0
lee2019,43,CSPNet,TENT,75.5
lee2019,44,CSPNet,TENT,85.0
lee2019,45,CSPNet,TENT,79.0
lee2019,46,CSPNet,TENT,77.0
lee2019,47,CSPNet,TENT,77.5
lee2019,48,CSPNet,TENT,56.0
lee2019,49,CSPNet,TENT,72.5
lee2019,50,CSPNet,TENT,58.0
lee2019,51,CSPNet,TENT,66.5
lee2019,52,CSPNet,TENT,68.5
lee2019,53,CSPNet,TENT,59.5
lee2019,54,CSPNet,TENT,61.5
cho2017,1,Conformer,TENT,66.5
cho2017,2,Conformer,TENT,57.0
cho2017,3,Conformer,TENT,82.5
cho2017,4,Conformer,TENT,76.5
cho2017,5,Conformer,TENT,53.0
cho2017,6,Conformer,TENT,61.5
cho2017,7,Conformer,TENT,57.9167
cho2017,8,Conformer,TENT,55.0
cho2017,9,Conformer,TENT,70.8333
cho2017,10,Conformer,TENT,87.0
cho2017,11,Conformer,TENT,63.0
cho2017,12,Conformer,TENT,72.0
cho2017,13,Conformer,TENT,51.0
cho2017,14,Conformer,TENT,90.0
cho2017,15,Conformer,TENT,76.5
cho2017,16,Conformer,TENT,61.5
cho2017,17,Conformer,TENT,51.0
cho2017,18,Conformer,TENT,64.5
cho2017,19,Conformer,TENT,67.0
cho2017,20,Conformer,TENT,64.0
cho2017,21,Conformer,TENT,75.5
cho2017,22,Conformer,TENT,74.0
cho2017,23,Conformer,TENT,87.0
cho2017,24,Conformer,TENT,74.5
cho2017,25,Conformer,TENT,80.5
cho2017,26,Conformer,TENT,62.5
cho2017,27,Conformer,TENT,57.5
cho2017,28,Conformer,TENT,48.5
cho2017,29,Conformer,TENT,57.0
cho2017,30,Conformer,TENT,59.5
cho2017,31,Conformer,TENT,72.0
cho2017,32,Conformer,TENT,50.0
cho2017,33,Conformer,TENT,69.0
cho2017,34,Conformer,TENT,54.5
cho2017,35,Conformer,TENT,57.0
cho2017,36,Conformer,TENT,75.0
cho2017,37,Conformer,TENT,50.0
cho2017,38,Conformer,TENT,58.5
cho2017,39,Conformer,TENT,60.5
cho2017,40,Conformer,TENT,52.0
cho2017,41,Conformer,TENT,92.0
cho2017,42,Conformer,TENT,71.0
cho2017,43,Conformer,TENT,97.0
cho2017,44,Conformer,TENT,64.0
cho2017,45,Conformer,TENT,56.5
cho2017,46,Conformer,TENT,73.75
cho2017,47,Conformer,TENT,74.0
cho2017,48,Conformer,TENT,84.0
cho2017,49,Conformer,TENT,73.5
cho2017,50,Conformer,TENT,57.0
cho2017,51,Conformer,TENT,64.5
cho2017,52,Conformer,TENT,67.5
lee2019,1,Conformer,TENT,79.5
lee2019,2,Conformer,TENT,69.0
lee2019,3,Conformer,TENT,89.5
lee2019,4,Conformer,TENT,51.5
lee2019,5,Conformer,TENT,76.0
lee2019,6,Conformer,TENT,59.0
lee2019,7,Conformer,TENT,65.0
lee2019,8,Conformer,TENT,74.5
lee2019,9,Conformer,TENT,83.5
lee2019,10,Conformer,TENT,71.0
lee2019,11,Conformer,TENT,51.5
lee2019,12,Conformer,TENT,71.5
lee2019,13,Conformer,TENT,65.0
lee2019,14,Conformer,TENT,72.5
lee2019,15,Conformer,TENT,53.5
lee2019,16,Conformer,TENT,57.0
lee2019,17,Conformer,TENT,64.0
lee2019,18,Conformer,TENT,83.0
lee2019,19,Conformer,TENT,77.0
lee2019,20,Conformer,TENT,64.0
lee2019,21,Conformer,TENT,92.5
lee2019,22,Conformer,TENT,70.5
lee2019,23,Conformer,TENT,71.5
lee2019,24,Conformer,TENT,57.0
lee2019,25,Conformer,TENT,60.5
lee2019,26,Conformer,TENT,56.5
lee2019,27,Conformer,TENT,50.5
lee2019,28,Conformer,TENT,80.5
lee2019,29,Conformer,TENT,61.0
lee2019,30,Conformer,TENT,61.0
lee2019,31,Conformer,TENT,63.5
lee2019,32,Conformer,TENT,86.5
lee2019,33,Conformer,TENT,97.0
lee2019,34,Conformer,TENT,55.0
lee2019,35,Conformer,TENT,50.5
lee2019,36,Conformer,TENT,95.5
lee2019,37,Conformer,TENT,97.5
lee2019,38,Conformer,TENT,60.0
lee2019,39,Conformer,TENT,81.5
lee2019,40,Conformer,TENT,53.0
lee2019,41,Conformer,TENT,57.0
lee2019,42,Conformer,TENT,72.0
lee2019,43,Conformer,TENT,64.0
lee2019,44,Conformer,TENT,82.5
lee2019,45,Conformer,TENT,79.5
lee2019,46,Conformer,TENT,74.5
lee2019,47,Conformer,TENT,72.5
lee2019,48,Conformer,TENT,56.0
lee2019,49,Conformer,TENT,70.5
lee2019,50,Conformer,TENT,53.0
lee2019,51,Conformer,TENT,62.5
lee2019,52,Conformer,TENT,62.5
lee2019,53,Conformer,TENT,65.0
lee2019,54,Conformer,TENT,63.0
cho2017,1,EEGNet,AdaBN,66.5
cho2017,2,EEGNet,AdaBN,56.0
cho2017,3,EEGNet,AdaBN,93.5
cho2017,4,EEGNet,AdaBN,91.0
cho2017,5,EEGNet,AdaBN,68.5
cho2017,6,EEGNet,AdaBN,61.5
cho2017,7,EEGNet,AdaBN,60.8333
cho2017,8,EEGNet,AdaBN,54.0
cho2017,9,EEGNet,AdaBN,70.4167
cho2017,10,EEGNet,AdaBN,85.5
cho2017,11,EEGNet,AdaBN,67.5
cho2017,12,EEGNet,AdaBN,69.0
cho2017,13,EEGNet,AdaBN,59.0
cho2017,14,EEGNet,AdaBN,88.5
cho2017,15,EEGNet,AdaBN,85.0
cho2017,16,EEGNet,AdaBN,60.5
cho2017,17,EEGNet,AdaBN,56.0
cho2017,18,EEGNet,AdaBN,74.5
cho2017,19,EEGNet,AdaBN,68.0
cho2017,20,EEGNet,AdaBN,67.0
cho2017,21,EEGNet,AdaBN,78.0
cho2017,22,EEGNet,AdaBN,73.0
cho2017,23,EEGNet,AdaBN,86.0
cho2017,24,EEGNet,AdaBN,74.5
cho2017,25,EEGNet,AdaBN,72.0
cho2017,26,EEGNet,AdaBN,74.5
cho2017,27,EEGNet,AdaBN,50.5
cho2017,28,EEGNet,AdaBN,51.0
cho2017,29,EEGNet,AdaBN,60.5
cho2017,30,EEGNet,AdaBN,66.5
cho2017,31,EEGNet,AdaBN,69.5
cho2017,32,EEGNet,AdaBN,50.5
cho2017,33,EEGNet,AdaBN,67.5
cho2017,34,EEGNet,AdaBN,52.5
cho2017,35,EEGNet,AdaBN,55.0
cho2017,36,EEGNet,AdaBN,68.0
cho2017,37,EEGNet,AdaBN,44.5
cho2017,38,EEGNet,AdaBN,70.0
cho2017,39,EEGNet,AdaBN,79.5
cho2017,40,EEGNet,AdaBN,55.0
cho2017,41,EEGNet,AdaBN,95.5
cho2017,42,EEGNet,AdaBN,68.0
cho2017,43,EEGNet,AdaBN,96.0
cho2017,44,EEGNet,AdaBN,76.5
cho2017,45,EEGNet,AdaBN,62.0
cho2017,46,EEGNet,AdaBN,82.9167
cho2017,47,EEGNet,AdaBN,74.0
cho2017,48,EEGNet,AdaBN,96.0
cho2017,49,EEGNet,AdaBN,69.5
cho2017,50,EEGNet,AdaBN,71.0
cho2017,51,EEGNet,AdaBN,70.5
cho2017,52,EEGNet,AdaBN,71.0
lee2019,1,EEGNet,AdaBN,85.5
lee2019,2,EEGNet,AdaBN,61.5
lee2019,3,EEGNet,AdaBN,87.0
lee2019,4,EEGNet,AdaBN,56.5
lee2019,5,EEGNet,AdaBN,88.0
lee2019,6,EEGNet,AdaBN,69.5
lee2019,7,EEGNet,AdaBN,69.0
lee2019,8,EEGNet,AdaBN,80.0
lee2019,9,EEGNet,AdaBN,81.0
lee2019,10,EEGNet,AdaBN,69.5
lee2019,11,EEGNet,AdaBN,54.0
lee2019,12,EEGNet,AdaBN,70.5
lee2019,13,EEGNet,AdaBN,61.0
lee2019,14,EEGNet,AdaBN,79.0
lee2019,15,EEGNet,AdaBN,61.0
lee2019,16,EEGNet,AdaBN,57.5
lee2019,17,EEGNet,AdaBN,70.0
lee2019,18,EEGNet,AdaBN,91.5
lee2019,19,EEGNet,AdaBN,82.0
lee2019,20,EEGNet,AdaBN,71.5
lee2019,21,EEGNet,AdaBN,95.0
lee2019,22,EEGNet,AdaBN,75.0
lee2019,23,EEGNet,AdaBN,79.0
lee2019,24,EEGNet,AdaBN,60.0
lee2019,25,EEGNet,AdaBN,61.0
lee2019,26,EEGNet,AdaBN,61.5
lee2019,27,EEGNet,AdaBN,54.0
lee2019,28,EEGNet,AdaBN,87.5
lee2019,29,EEGNet,AdaBN,65.0
lee2019,30,EEGNet,AdaBN,69.5
lee2019,31,EEGNet,AdaBN,66.5
lee2019,32,EEGNet,AdaBN,91.5
lee2019,33,EEGNet,AdaBN,95.0
lee2019,34,EEGNet,AdaBN,46.0
lee2019,35,EEGNet,AdaBN,50.5
lee2019,36,EEGNet,AdaBN,94.5
lee2019,37,EEGNet,AdaBN,96.5
lee2019,38,EEGNet,AdaBN,60.5
lee2019,39,EEGNet,AdaBN,85.5
lee2019,40,EEGNet,AdaBN,62.0
lee2019,41,EEGNet,AdaBN,56.5
lee2019,42,EEGNet,AdaBN,72.5
lee2019,43,EEGNet,AdaBN,68.5
lee2019,44,EEGNet,AdaBN,92.0
lee2019,45,EEGNet,AdaBN,77.5
lee2019,46,EEGNet,AdaBN,75.5
lee2019,47,EEGNet,AdaBN,74.0
lee2019,48,EEGNet,AdaBN,54.5
lee2019,49,EEGNet,AdaBN,75.0
lee2019,50,EEGNet,AdaBN,53.5
lee2019,51,EEGNet,AdaBN,67.0
lee2019,52,EEGNet,AdaBN,71.5
lee2019,53,EEGNet,AdaBN,64.0
lee2019,54,EEGNet,AdaBN,64.0
cho2017,1,CSPNet,AdaBN,68.0
cho2017,2,CSPNet,AdaBN,58.0
cho2017,3,CSPNet,AdaBN,92.0
cho2017,4,CSPNet,AdaBN,89.0
cho2017,5,CSPNet,AdaBN,69.5
cho2017,6,CSPNet,AdaBN,58.5
cho2017,7,CSPNet,AdaBN,62.9167
cho2017,8,CSPNet,AdaBN,58.0
cho2017,9,CSPNet,AdaBN,73.3333
cho2017,10,CSPNet,AdaBN,85.5
cho2017,11,CSPNet,AdaBN,74.5
cho2017,12,CSPNet,AdaBN,73.0
cho2017,13,CSPNet,AdaBN,55.0
cho2017,14,CSPNet,AdaBN,91.5
cho2017,15,CSPNet,AdaBN,80.5
cho2017,16,CSPNet,AdaBN,67.5
cho2017,17,CSPNet,AdaBN,53.5
cho2017,18,CSPNet,AdaBN,72.5
cho2017,19,CSPNet,AdaBN,73.0
cho2017,20,CSPNet,AdaBN,70.0
cho2017,21,CSPNet,AdaBN,83.0
cho2017,22,CSPNet,AdaBN,70.5
cho2017,23,CSPNet,AdaBN,87.5
cho2017,24,CSPNet,AdaBN,71.0
cho2017,25,CSPNet,AdaBN,83.5
cho2017,26,CSPNet,AdaBN,73.0
cho2017,27,CSPNet,AdaBN,53.5
cho2017,28,CSPNet,AdaBN,48.0
cho2017,29,CSPNet,AdaBN,54.5
cho2017,30,CSPNet,AdaBN,72.0
cho2017,31,CSPNet,AdaBN,69.5
cho2017,32,CSPNet,AdaBN,52.5
cho2017,33,CSPNet,AdaBN,66.0
cho2017,34,CSPNet,AdaBN,53.5
cho2017,35,CSPNet,AdaBN,54.5
cho2017,36,CSPNet,AdaBN,73.5
cho2017,37,CSPNet,AdaBN,54.0
cho2017,38,CSPNet,AdaBN,71.0
cho2017,39,CSPNet,AdaBN,76.0
cho2017,40,CSPNet,AdaBN,50.0
cho2017,41,CSPNet,AdaBN,96.0
cho2017,42,CSPNet,AdaBN,70.0
cho2017,43,CSPNet,AdaBN,96.0
cho2017,44,CSPNet,AdaBN,79.5
cho2017,45,CSPNet,AdaBN,67.5
cho2017,46,CSPNet,AdaBN,79.5833
cho2017,47,CSPNet,AdaBN,78.0
cho2017,48,CSPNet,AdaBN,94.5
cho2017,49,CSPNet,AdaBN,73.0
cho2017,50,CSPNet,AdaBN,68.5
cho2017,51,CSPNet,AdaBN,66.5
cho2017,52,CSPNet,AdaBN,82.5
lee2019,1,CSPNet,AdaBN,90.0
lee2019,2,CSPNet,AdaBN,80.0
lee2019,3,CSPNet,AdaBN,88.0
lee2019,4,CSPNet,AdaBN,61.5
lee2019,5,CSPNet,AdaBN,94.5
lee2019,6,CSPNet,AdaBN,70.0
lee2019,7,CSPNet,AdaBN,60.5
lee2019,8,CSPNet,AdaBN,76.0
lee2019,9,CSPNet,AdaBN,82.0
lee2019,10,CSPNet,AdaBN,67.5
lee2019,11,CSPNet,AdaBN,52.0
lee2019,12,CSPNet,AdaBN,66.5
lee2019,13,CSPNet,AdaBN,62.5
lee2019,14,CSPNet,AdaBN,81.5
lee2019,15,CSPNet,AdaBN,59.5
lee2019,16,CSPNet,AdaBN,60.5
lee2019,17,CSPNet,AdaBN,69.0
lee2019,18,CSPNet,AdaBN,87.0
lee2019,19,CSPNet,AdaBN,82.0
lee2019,20,CSPNet,AdaBN,77.5
lee2019,21,CSPNet,AdaBN,94.0
lee2019,22,CSPNet,AdaBN,78.0
lee2019,23,CSPNet,AdaBN,82.0
lee2019,24,CSPNet,AdaBN,56.0
lee2019,25,CSPNet,AdaBN,57.5
lee2019,26,CSPNet,AdaBN,61.5
lee2019,27,CSPNet,AdaBN,53.5
lee2019,28,CSPNet,AdaBN,89.5
lee2019,29,CSPNet,AdaBN,65.0
lee2019,30,CSPNet,AdaBN,73.5
lee2019,31,CSPNet,AdaBN,68.0
lee2019,32,CSPNet,AdaBN,93.0
lee2019,33,CSPNet,AdaBN,94.0
lee2019,34,CSPNet,AdaBN,48.0
lee2019,35,CSPNet,AdaBN,52.0
lee2019,36,CSPNet,AdaBN,94.0
lee2019,37,CSPNet,AdaBN,97.0
lee2019,38,CSPNet,AdaBN,58.0
lee2019,39,CSPNet,AdaBN,87.0
lee2019,40,CSPNet,AdaBN,61.0
lee2019,41,CSPNet,AdaBN,59.5
lee2019,42,CSPNet,AdaBN,69.5
lee2019,43,CSPNet,AdaBN,75.5
lee2019,44,CSPNet,AdaBN,92.5
lee2019,45,CSPNet,AdaBN,77.0
lee2019,46,CSPNet,AdaBN,76.5
lee2019,47,CSPNet,AdaBN,79.0
lee2019,48,CSPNet,AdaBN,58.0
lee2019,49,CSPNet,AdaBN,73.5
lee2019,50,CSPNet,AdaBN,55.0
lee2019,51,CSPNet,AdaBN,63.0
lee2019,52,CSPNet,AdaBN,65.5
lee2019,53,CSPNet,AdaBN,61.0
lee2019,54,CSPNet,AdaBN,64.0
cho2017,1,Conformer,AdaBN,64.5
cho2017,2,Conformer,AdaBN,59.0
cho2017,3,Conformer,AdaBN,91.0
cho2017,4,Conformer,AdaBN,87.0
cho2017,5,Conformer,AdaBN,66.5
cho2017,6,Conformer,AdaBN,67.5
cho2017,7,Conformer,AdaBN,60.8
cho2017,8,Conformer,AdaBN,60.5
cho2017,9,Conformer,AdaBN,71.7
cho2017,10,Conformer,AdaBN,86.5
cho2017,11,Conformer,AdaBN,66.5
cho2017,12,Conformer,AdaBN,75.0
cho2017,13,Conformer,AdaBN,50.5
cho2017,14,Conformer,AdaBN,95.0
cho2017,15,Conformer,AdaBN,81.0
cho2017,16,Conformer,AdaBN,63.5
cho2017,17,Conformer,AdaBN,53.0
cho2017,18,Conformer,AdaBN,71.0
cho2017,19,Conformer,AdaBN,70.5
cho2017,20,Conformer,AdaBN,69.0
cho2017,21,Conformer,AdaBN,84.0
cho2017,22,Conformer,AdaBN,74.5
cho2017,23,Conformer,AdaBN,86.5
cho2017,24,Conformer,AdaBN,76.5
cho2017,25,Conformer,AdaBN,81.0
cho2017,26,Conformer,AdaBN,76.5
cho2017,27,Conformer,AdaBN,61.0
cho2017,28,Conformer,AdaBN,50.0
cho2017,29,Conformer,AdaBN,61.5
cho2017,30,Conformer,AdaBN,61.5
cho2017,31,Conformer,AdaBN,72.0
cho2017,32,Conformer,AdaBN,55.0
cho2017,33,Conformer,AdaBN,65.5
cho2017,34,Conformer,AdaBN,51.0
cho2017,35,Conformer,AdaBN,61.0
cho2017,36,Conformer,AdaBN,70.0
cho2017,37,Conformer,AdaBN,52.5
cho2017,38,Conformer,AdaBN,67.0
cho2017,39,Conformer,AdaBN,73.5
cho2017,40,Conformer,AdaBN,52.0
cho2017,41,Conformer,AdaBN,94.0
cho2017,42,Conformer,AdaBN,65.5
cho2017,43,Conformer,AdaBN,97.5
cho2017,44,Conformer,AdaBN,71.5
cho2017,45,Conformer,AdaBN,71.5
cho2017,46,Conformer,AdaBN,82.5
cho2017,47,Conformer,AdaBN,72.0
cho2017,48,Conformer,AdaBN,88.5
cho2017,49,Conformer,AdaBN,72.0
cho2017,50,Conformer,AdaBN,67.5
cho2017,51,Conformer,AdaBN,65.0
cho2017,52,Conformer,AdaBN,74.0
lee2019,1,Conformer,AdaBN,80.5
lee2019,2,Conformer,AdaBN,75.0
lee2019,3,Conformer,AdaBN,90.5
lee2019,4,Conformer,AdaBN,60.5
lee2019,5,Conformer,AdaBN,88.5
lee2019,6,Conformer,AdaBN,67.5
lee2019,7,Conformer,AdaBN,65.0
lee2019,8,Conformer,AdaBN,70.5
lee2019,9,Conformer,AdaBN,84.5
lee2019,10,Conformer,AdaBN,72.5
lee2019,11,Conformer,AdaBN,53.5
lee2019,12,Conformer,AdaBN,67.0
lee2019,13,Conformer,AdaBN,66.0
lee2019,14,Conformer,AdaBN,81.0
lee2019,15,Conformer,AdaBN,60.0
lee2019,16,Conformer,AdaBN,62.0
lee2019,17,Conformer,AdaBN,68.0
lee2019,18,Conformer,AdaBN,91.5
lee2019,19,Conformer,AdaBN,80.0
lee2019,20,Conformer,AdaBN,70.0
lee2019,21,Conformer,AdaBN,93.0
lee2019,22,Conformer,AdaBN,76.5
lee2019,23,Conformer,AdaBN,81.0
lee2019,24,Conformer,AdaBN,55.5
lee2019,25,Conformer,AdaBN,59.0
lee2019,26,Conformer,AdaBN,63.0
lee2019,27,Conformer,AdaBN,52.0
lee2019,28,Conformer,AdaBN,88.0
lee2019,29,Conformer,AdaBN,62.0
lee2019,30,Conformer,AdaBN,71.0
lee2019,31,Conformer,AdaBN,71.0
lee2019,32,Conformer,AdaBN,91.5
lee2019,33,Conformer,AdaBN,94.0
lee2019,34,Conformer,AdaBN,57.0
lee2019,35,Conformer,AdaBN,56.5
lee2019,36,Conformer,AdaBN,96.0
lee2019,37,Conformer,AdaBN,97.0
lee2019,38,Conformer,AdaBN,61.5
lee2019,39,Conformer,AdaBN,85.5
lee2019,40,Conformer,AdaBN,64.0
lee2019,41,Conformer,AdaBN,58.5
lee2019,42,Conformer,AdaBN,70.0
lee2019,43,Conformer,AdaBN,71.5
lee2019,44,Conformer,AdaBN,91.0
lee2019,45,Conformer,AdaBN,81.0
lee2019,46,Conformer,AdaBN,75.5
lee2019,47,Conformer,AdaBN,72.0
lee2019,48,Conformer,AdaBN,57.0
lee2019,49,Conformer,AdaBN,75.5
lee2019,50,Conformer,AdaBN,57.0
lee2019,51,Conformer,AdaBN,63.5
lee2019,52,Conformer,AdaBN,71.5
lee2019,53,Conformer,AdaBN,66.0
lee2019,54,Conformer,AdaBN,65.0
cho2017,1,EEGNet,Snapshot,63.5
cho2017,2,EEGNet,Snapshot,60.0
cho2017,3,EEGNet,Snapshot,91.5
cho2017,4,EEGNet,Snapshot,93.5
cho2017,5,EEGNet,Snapshot,65.5
cho2017,6,EEGNet,Snapshot,62.5
cho2017,7,EEGNet,Snapshot,59.2
cho2017,8,EEGNet,Snapshot,56.0
cho2017,9,EEGNet,Snapshot,65.8
cho2017,10,EEGNet,Snapshot,82.5
cho2017,11,EEGNet,Snapshot,68.5
cho2017,12,EEGNet,Snapshot,71.0
cho2017,13,EEGNet,Snapshot,51.0
cho2017,14,EEGNet,Snapshot,90.5
cho2017,15,EEGNet,Snapshot,79.5
cho2017,16,EEGNet,Snapshot,58.5
cho2017,17,EEGNet,Snapshot,53.0
cho2017,18,EEGNet,Snapshot,70.5
cho2017,19,EEGNet,Snapshot,68.0
cho2017,20,EEGNet,Snapshot,62.0
cho2017,21,EEGNet,Snapshot,81.0
cho2017,22,EEGNet,Snapshot,78.0
cho2017,23,EEGNet,Snapshot,89.0
cho2017,24,EEGNet,Snapshot,72.5
cho2017,25,EEGNet,Snapshot,80.5
cho2017,26,EEGNet,Snapshot,68.0
cho2017,27,EEGNet,Snapshot,53.5
cho2017,28,EEGNet,Snapshot,48.0
cho2017,29,EEGNet,Snapshot,58.5
cho2017,30,EEGNet,Snapshot,61.0
cho2017,31,EEGNet,Snapshot,74.0
cho2017,32,EEGNet,Snapshot,51.5
cho2017,33,EEGNet,Snapshot,65.0
cho2017,34,EEGNet,Snapshot,51.5
cho2017,35,EEGNet,Snapshot,61.0
cho2017,36,EEGNet,Snapshot,68.5
cho2017,37,EEGNet,Snapshot,47.5
cho2017,38,EEGNet,Snapshot,60.5
cho2017,39,EEGNet,Snapshot,72.5
cho2017,40,EEGNet,Snapshot,54.0
cho2017,41,EEGNet,Snapshot,95.5
cho2017,42,EEGNet,Snapshot,71.0
cho2017,43,EEGNet,Snapshot,97.0
cho2017,44,EEGNet,Snapshot,78.0
cho2017,45,EEGNet,Snapshot,63.0
cho2017,46,EEGNet,Snapshot,79.2
cho2017,47,EEGNet,Snapshot,74.0
cho2017,48,EEGNet,Snapshot,95.0
cho2017,49,EEGNet,Snapshot,69.5
cho2017,50,EEGNet,Snapshot,65.5
cho2017,51,EEGNet,Snapshot,65.0
cho2017,52,EEGNet,Snapshot,71.0
lee2019,1,EEGNet,Snapshot,86.5
lee2019,2,EEGNet,Snapshot,80.5
lee2019,3,EEGNet,Snapshot,83.5
lee2019,4,EEGNet,Snapshot,55.0
lee2019,5,EEGNet,Snapshot,89.5
lee2019,6,EEGNet,Snapshot,71.5
lee2019,7,EEGNet,Snapshot,59.5
lee2019,8,EEGNet,Snapshot,79.0
lee2019,9,EEGNet,Snapshot,85.5
lee2019,10,EEGNet,Snapshot,65.5
lee2019,11,EEGNet,Snapshot,58.0
lee2019,12,EEGNet,Snapshot,70.5
lee2019,13,EEGNet,Snapshot,57.0
lee2019,14,EEGNet,Snapshot,78.5
lee2019,15,EEGNet,Snapshot,52.0
lee2019,16,EEGNet,Snapshot,60.5
lee2019,17,EEGNet,Snapshot,71.5
