dataset,subject,backbone,method,acc
lee2019,33,EEGNet,Original,93.0
lee2019,34,EEGNet,Original,51.0
lee2019,35,EEGNet,Original,55.0
lee2019,36,EEGNet,Original,88.5
lee2019,37,EEGNet,Original,96.0
lee2019,38,EEGNet,Original,64.5
lee2019,39,EEGNet,Original,82.5
lee2019,40,EEGNet,Original,63.0
lee2019,41,EEGNet,Original,53.5
lee2019,42,EEGNet,Original,68.5
lee2019,43,EEGNet,Original,68.0
lee2019,44,EEGNet,Original,85.0
lee2019,45,EEGNet,Original,79.0
lee2019,46,EEGNet,Original,70.0
lee2019,47,EEGNet,Original,63.0
lee2019,48,EEGNet,Original,53.0
lee2019,49,EEGNet,Original,71.0
lee2019,50,EEGNet,Original,50.5
lee2019,51,EEGNet,Original,62.0
lee2019,52,EEGNet,Original,67.5
lee2019,53,EEGNet,Original,65.5
lee2019,54,EEGNet,Original,59.5
cho2017,1,CSPNet,Original,67.5
cho2017,2,CSPNet,Original,53.5
cho2017,3,CSPNet,Original,90.5
cho2017,4,CSPNet,Original,84.0
cho2017,5,CSPNet,Original,61.0
cho2017,6,CSPNet,Original,61.0
cho2017,7,CSPNet,Original,64.1667
cho2017,8,CSPNet,Original,55.5
cho2017,9,CSPNet,Original,69.5833
cho2017,10,CSPNet,Original,80.0
cho2017,11,CSPNet,Original,60.5
cho2017,12,CSPNet,Original,55.0
cho2017,13,CSPNet,Original,55.5
cho2017,14,CSPNet,Original,90.5
cho2017,15,CSPNet,Original,63.5
cho2017,16,CSPNet,Original,62.0
cho2017,17,CSPNet,Original,48.5
cho2017,18,CSPNet,Original,66.0
cho2017,19,CSPNet,Original,58.5
cho2017,20,CSPNet,Original,59.0
cho2017,21,CSPNet,Original,73.5
cho2017,22,CSPNet,Original,73.0
cho2017,23,CSPNet,Original,84.0
cho2017,24,CSPNet,Original,76.0
cho2017,25,CSPNet,Original,75.0
cho2017,26,CSPNet,Original,68.5
cho2017,27,CSPNet,Original,50.5
cho2017,28,CSPNet,Original,49.5
cho2017,29,CSPNet,Original,60.0
cho2017,30,CSPNet,Original,60.5
cho2017,31,CSPNet,Original,61.0
cho2017,32,CSPNet,Original,57.0
cho2017,33,CSPNet,Original,67.0
cho2017,34,CSPNet,Original,53.0
cho2017,35,CSPNet,Original,58.0
cho2017,36,CSPNet,Original,67.5
cho2017,37,CSPNet,Original,50.5
cho2017,38,CSPNet,Original,52.5
cho2017,39,CSPNet,Original,50.5
cho2017,40,CSPNet,Original,52.0
cho2017,41,CSPNet,Original,90.5
cho2017,42,CSPNet,Original,70.5
cho2017,43,CSPNet,Original,96.5
cho2017,44,CSPNet,Original,72.5
cho2017,45,CSPNet,Original,65.0
cho2017,46,CSPNet,Original,62.5
cho2017,47,CSPNet,Original,66.0
cho2017,48,CSPNet,Original,90.0
cho2017,49,CSPNet,Original,67.5
cho2017,50,CSPNet,Original,56.5
cho2017,51,CSPNet,Original,64.0
cho2017,52,CSPNet,Original,73.5
lee2019,1,CSPNet,Original,84.0
lee2019,2,CSPNet,Original,77.0
lee2019,3,CSPNet,Original,84.5
lee2019,4,CSPNet,Original,61.5
lee2019,5,CSPNet,Original,91.0
lee2019,6,CSPNet,Original,77.5
lee2019,7,CSPNet,Original,60.0
lee2019,8,CSPNet,Original,72.5
lee2019,9,CSPNet,Original,83.0
lee2019,10,CSPNet,Original,57.5
lee2019,11,CSPNet,Original,56.5
lee2019,12,CSPNet,Original,66.0
lee2019,13,CSPNet,Original,55.0
lee2019,14,CSPNet,Original,75.0
lee2019,15,CSPNet,Original,51.5
lee2019,16,CSPNet,Original,61.5
lee2019,17,CSPNet,Original,67.0
lee2019,18,CSPNet,Original,86.0
lee2019,19,CSPNet,Original,81.5
lee2019,20,CSPNet,Original,74.5
lee2019,21,CSPNet,Original,86.0
lee2019,22,CSPNet,Original,65.0
lee2019,23,CSPNet,Original,77.5
lee2019,24,CSPNet,Original,53.5
lee2019,25,CSPNet,Original,59.0
lee2019,26,CSPNet,Original,66.0
lee2019,27,CSPNet,Original,54.5
lee2019,28,CSPNet,Original,90.5
lee2019,29,CSPNet,Original,66.0
lee2019,30,CSPNet,Original,72.0
lee2019,31,CSPNet,Original,62.0
lee2019,32,CSPNet,Original,96.0
lee2019,33,CSPNet,Original,95.0
lee2019,34,CSPNet,Original,46.0
lee2019,35,CSPNet,Original,50.5
lee2019,36,CSPNet,Original,92.5
lee2019,37,CSPNet,Original,96.5
lee2019,38,CSPNet,Original,61.5
lee2019,39,CSPNet,Original,82.5
lee2019,40,CSPNet,Original,60.0
lee2019,41,CSPNet,Original,56.5
lee2019,42,CSPNet,Original,68.5
lee2019,43,CSPNet,Original,72.5
lee2019,44,CSPNet,Original,91.5
lee2019,45,CSPNet,Original,81.0
lee2019,46,CSPNet,Original,78.0
lee2019,47,CSPNet,Original,70.5
lee2019,48,CSPNet,Original,52.0
lee2019,49,CSPNet,Original,61.0
lee2019,50,CSPNet,Original,49.5
lee2019,51,CSPNet,Original,56.5
lee2019,52,CSPNet,Original,66.5
lee2019,53,CSPNet,Original,62.0
lee2019,54,CSPNet,Original,58.0
cho2017,1,Conformer,Original,66.0
cho2017,2,Conformer,Original,57.0
cho2017,3,Conformer,Original,88.0
cho2017,4,Conformer,Original,74.5
cho2017,5,Conformer,Original,56.0
cho2017,6,Conformer,Original,59.0
cho2017,7,Conformer,Original,62.5
cho2017,8,Conformer,Original,58.0
cho2017,9,Conformer,Original,67.9167
cho2017,10,Conformer,Original,65.5
cho2017,11,Conformer,Original,61.5
cho2017,12,Conformer,Original,57.0
cho2017,13,Conformer,Original,53.5
cho2017,14,Conformer,Original,91.5
cho2017,15,Conformer,Original,64.0
cho2017,16,Conformer,Original,58.5
cho2017,17,Conformer,Original,48.5
cho2017,18,Conformer,Original,59.5
cho2017,19,Conformer,Original,57.0
cho2017,20,Conformer,Original,54.0
cho2017,21,Conformer,Original,66.5
cho2017,22,Conformer,Original,69.0
cho2017,23,Conformer,Original,54.5
cho2017,24,Conformer,Original,71.0
cho2017,25,Conformer,Original,71.0
cho2017,26,Conformer,Original,65.5
cho2017,27,Conformer,Original,50.0
cho2017,28,Conformer,Original,51.0
cho2017,29,Conformer,Original,59.0
cho2017,30,Conformer,Original,63.5
cho2017,31,Conformer,Original,60.0
cho2017,32,Conformer,Original,53.0
cho2017,33,Conformer,Original,58.5
cho2017,34,Conformer,Original,51.0
cho2017,35,Conformer,Original,54.5
cho2017,36,Conformer,Original,71.5
