dataset,subject,backbone,method,acc,reference_acc,reference,delta
cho2017,14,CSPNet,EA,95.0,90.5,Original,4.5
cho2017,15,CSPNet,EA,80.0,63.5,Original,16.5
cho2017,16,CSPNet,EA,63.0,62.0,Original,1.0
cho2017,17,CSPNet,EA,55.5,48.5,Original,7.0
cho2017,18,CSPNet,EA,68.5,66.0,Original,2.5
cho2017,19,CSPNet,EA,76.0,58.5,Original,17.5
cho2017,20,CSPNet,EA,70.5,59.0,Original,11.5
cho2017,21,CSPNet,EA,84.5,73.5,Original,11.0
cho2017,22,CSPNet,EA,74.0,73.0,Original,1.0
cho2017,23,CSPNet,EA,89.5,84.0,Original,5.5
cho2017,24,CSPNet,EA,70.5,76.0,Original,-5.5
cho2017,25,CSPNet,EA,79.5,75.0,Original,4.5
cho2017,26,CSPNet,EA,72.0,68.5,Original,3.5
cho2017,27,CSPNet,EA,58.0,50.5,Original,7.5
cho2017,28,CSPNet,EA,49.5,49.5,Original,0.0
cho2017,29,CSPNet,EA,56.0,60.0,Original,-4.0
cho2017,30,CSPNet,EA,63.5,60.5,Original,3.0
cho2017,31,CSPNet,EA,66.0,61.0,Original,5.0
cho2017,32,CSPNet,EA,54.0,57.0,Original,-3.0
cho2017,33,CSPNet,EA,67.5,67.0,Original,0.5
cho2017,34,CSPNet,EA,52.0,53.0,Original,-1.0
cho2017,35,CSPNet,EA,57.5,58.0,Original,-0.5
cho2017,36,CSPNet,EA,71.5,67.5,Original,4.0
cho2017,37,CSPNet,EA,57.0,50.5,Original,6.5
cho2017,38,CSPNet,EA,69.5,52.5,Original,17.0
cho2017,39,CSPNet,EA,79.5,50.5,Original,29.0
cho2017,40,CSPNet,EA,54.0,52.0,Original,2.0
cho2017,41,CSPNet,EA,96.5,90.5,Original,6.0
cho2017,42,CSPNet,EA,67.5,70.5,Original,-3.0
cho2017,43,CSPNet,EA,97.0,96.5,Original,0.5
cho2017,44,CSPNet,EA,80.0,72.5,Original,7.5
cho2017,45,CSPNet,EA,68.5,65.0,Original,3.5
cho2017,46,CSPNet,EA,81.25,62.5,Original,18.75
cho2017,47,CSPNet,EA,74.0,66.0,Original,8.0
cho2017,48,CSPNet,EA,95.5,90.0,Original,5.5
cho2017,49,CSPNet,EA,73.5,67.5,Original,6.0
cho2017,50,CSPNet,EA,70.5,56.5,Original,14.0
cho2017,51,CSPNet,EA,68.0,64.0,Original,4.0
cho2017,52,CSPNet,EA,79.5,73.5,Original,6.0
lee2019,1,CSPNet,EA,86.5,84.0,Original,2.5
lee2019,2,CSPNet,EA,80.0,77.0,Original,3.0
lee2019,3,CSPNet,EA,84.5,84.5,Original,0.0
lee2019,4,CSPNet,EA,60.0,61.5,Original,-1.5
lee2019,5,CSPNet,EA,93.0,91.0,Original,2.0
lee2019,6,CSPNet,EA,73.0,77.5,Original,-4.5
lee2019,7,CSPNet,EA,64.5,60.0,Original,4.5
lee2019,8,CSPNet,EA,78.5,72.5,Original,6.0
lee2019,9,CSPNet,EA,83.0,83.0,Original,0.0
lee2019,10,CSPNet,EA,67.0,57.5,Original,9.5
lee2019,11,CSPNet,EA,54.5,56.5,Original,-2.0
lee2019,12,CSPNet,EA,67.5,66.0,Original,1.5
lee2019,13,CSPNet,EA,62.5,55.0,Original,7.5
lee2019,14,CSPNet,EA,77.5,75.0,Original,2.5
lee2019,15,CSPNet,EA,60.0,51.5,Original,8.5
lee2019,16,CSPNet,EA,58.0,61.5,Original,-3.5
lee2019,17,CSPNet,EA,68.0,67.0,Original,1.0
lee2019,18,CSPNet,EA,85.0,86.0,Original,-1.0
lee2019,19,CSPNet,EA,84.5,81.5,Original,3.0
lee2019,20,CSPNet,EA,73.0,74.5,Original,-1.5
lee2019,21,CSPNet,EA,83.0,86.0,Original,-3.0
lee2019,22,CSPNet,EA,70.0,65.0,Original,5.0
lee2019,23,CSPNet,EA,76.5,77.5,Original,-1.0
lee2019,24,CSPNet,EA,54.5,53.5,Original,1.0
lee2019,25,CSPNet,EA,56.0,59.0,Original,-3.0
lee2019,26,CSPNet,EA,63.5,66.0,Original,-2.5
lee2019,27,CSPNet,EA,55.5,54.5,Original,1.0
lee2019,28,CSPNet,EA,92.0,90.5,Original,1.5
lee2019,29,CSPNet,EA,71.5,66.0,Original,5.5
lee2019,30,CSPNet,EA,71.0,72.0,Original,-1.0
lee2019,31,CSPNet,EA,67.5,62.0,Original,5.5
lee2019,32,CSPNet,EA,96.0,96.0,Original,0.0
lee2019,33,CSPNet,EA,93.5,95.0,Original,-1.5
lee2019,34,CSPNet,EA,45.0,46.0,Original,-1.0
lee2019,35,CSPNet,EA,54.0,50.5,Original,3.5
lee2019,36,CSPNet,EA,95.0,92.5,Original,2.5
lee2019,37,CSPNet,EA,96.0,96.5,Original,-0.5
lee2019,38,CSPNet,EA,57.5,61.5,Original,-4.0
lee2019,39,CSPNet,EA,87.0,82.5,Original,4.5
lee2019,40,CSPNet,EA,69.0,60.0,Original,9.0
lee2019,41,CSPNet,EA,59.5,56.5,Original,3.0
lee2019,42,CSPNet,EA,70.5,68.5,Original,2.0
lee2019,43,CSPNet,EA,74.5,72.5,Original,2.0
lee2019,44,CSPNet,EA,87.0,91.5,Original,-4.5
lee2019,45,CSPNet,EA,77.0,81.0,Original,-4.0
lee2019,46,CSPNet,EA,74.5,78.0,Original,-3.5
lee2019,47,CSPNet,EA,76.5,70.5,Original,6.0
lee2019,48,CSPNet,EA,58.5,52.0,Original,6.5
lee2019,49,CSPNet,EA,68.0,61.0,Original,7.0
lee2019,50,CSPNet,EA,51.0,49.5,Original,1.5
lee2019,51,CSPNet,EA,68.5,56.5,Original,12.0
lee2019,52,CSPNet,EA,65.5,66.5,Original,-1.0
lee2019,53,CSPNet,EA,64.0,62.0,Original,2.0
lee2019,54,CSPNet,EA,61.5,58.0,Original,3.5
cho2017,1,Conformer,EA,66.5,66.0,Original,0.5
cho2017,2,Conformer,EA,59.0,57.0,Original,2.0
cho2017,3,Conformer,EA,94.0,88.0,Original,6.0
cho2017,4,Conformer,EA,88.0,74.5,Original,13.5
cho2017,5,Conformer,EA,69.0,56.0,Original,13.0
cho2017,6,Conformer,EA,66.5,59.0,Original,7.5
cho2017,7,Conformer,EA,58.3333,62.5,Original,-4.166699999999999
