direction,target_subject,CSP-LDA,EA-CSP-LDA,DatasetEA+SubjectEA+CSP-LDA,DatasetEA+SubjectEA+CSPNet,DatasetEA+SubjectEA+AdaBN+Con,PSDNorm+DatasetEA+SubjectEA+AdaBN+Con,Delta_CSP_LDA_to_DatasetEA_SubjectEA_CSP_LDA,Delta_CSPNet_to_DatasetEA_SubjectEA_CSP_LDA
lee2019->cho2017,40,50.0,50.5,51.5,51.5,52.0,49.0,1.5,0.0
lee2019->cho2017,41,54.0,73.0,86.5,63.0,56.5,60.5,32.5,23.5
lee2019->cho2017,42,51.5,58.0,64.5,61.0,63.5,63.0,13.0,3.5
lee2019->cho2017,43,50.0,84.5,94.0,86.5,84.5,85.0,44.0,7.5
lee2019->cho2017,44,50.0,62.5,72.5,69.0,65.0,68.0,22.5,3.5
lee2019->cho2017,45,55.0,54.0,60.0,53.0,50.5,55.5,5.0,7.0
lee2019->cho2017,46,49.6,54.2,67.1,60.0,63.7,66.2,17.499999999999993,7.099999999999994
lee2019->cho2017,47,62.0,64.5,67.0,56.5,58.0,57.5,5.0,10.5
lee2019->cho2017,48,54.0,79.5,86.0,73.0,74.0,80.5,32.0,13.0
lee2019->cho2017,49,50.5,58.0,64.5,61.5,61.0,62.5,14.0,3.0
lee2019->cho2017,50,50.5,57.5,58.5,52.5,55.0,56.5,8.0,6.0
lee2019->cho2017,51,52.0,58.5,59.5,63.0,58.0,61.0,7.5,-3.5
lee2019->cho2017,52,55.0,62.0,74.0,71.0,71.5,72.5,19.0,3.0
