dataset,subject,method,acc
lee2019,35,EA+SupCon+AdaBN,52.5
lee2019,35,EA+SupCon+CORAL,57.0
lee2019,36,Original,92.5
lee2019,36,EA,95.0
lee2019,36,EA+TENT,95.5
lee2019,36,EA+AdaBN,94.0
lee2019,36,EA+Snapshot+AdaBN,95.5
lee2019,36,EA+SupCon,94.5
lee2019,36,EA+SupCon+AdaBN,94.0
lee2019,36,EA+SupCon+CORAL,95.5
lee2019,37,Original,96.5
lee2019,37,EA,96.0
lee2019,37,EA+TENT,96.0
lee2019,37,EA+AdaBN,97.0
lee2019,37,EA+Snapshot+AdaBN,96.0
lee2019,37,EA+SupCon,96.0
lee2019,37,EA+SupCon+AdaBN,95.5
lee2019,37,EA+SupCon+CORAL,96.0
lee2019,38,Original,61.5
lee2019,38,EA,57.5
lee2019,38,EA+TENT,54.5
lee2019,38,EA+AdaBN,58.0
lee2019,38,EA+Snapshot+AdaBN,60.5
lee2019,38,EA+SupCon,61.5
lee2019,38,EA+SupCon+AdaBN,58.5
lee2019,38,EA+SupCon+CORAL,58.5
lee2019,39,Original,82.5
lee2019,39,EA,87.0
lee2019,39,EA+TENT,82.5
lee2019,39,EA+AdaBN,87.0
lee2019,39,EA+Snapshot+AdaBN,84.5
lee2019,39,EA+SupCon,85.0
lee2019,39,EA+SupCon+AdaBN,86.0
lee2019,39,EA+SupCon+CORAL,85.0
lee2019,40,Original,60.0
lee2019,40,EA,69.0
lee2019,40,EA+TENT,64.0
lee2019,40,EA+AdaBN,61.0
lee2019,40,EA+Snapshot+AdaBN,65.0
lee2019,40,EA+SupCon,61.0
lee2019,40,EA+SupCon+AdaBN,65.5
lee2019,40,EA+SupCon+CORAL,61.5
lee2019,41,Original,56.5
lee2019,41,EA,59.5
lee2019,41,EA+TENT,58.0
lee2019,41,EA+AdaBN,59.5
lee2019,41,EA+Snapshot+AdaBN,63.0
lee2019,41,EA+SupCon,56.5
lee2019,41,EA+SupCon+AdaBN,60.5
lee2019,41,EA+SupCon+CORAL,56.5
lee2019,42,Original,68.5
lee2019,42,EA,70.5
lee2019,42,EA+TENT,72.0
lee2019,42,EA+AdaBN,69.5
lee2019,42,EA+Snapshot+AdaBN,71.0
lee2019,42,EA+SupCon,66.5
lee2019,42,EA+SupCon+AdaBN,71.0
lee2019,42,EA+SupCon+CORAL,67.0
lee2019,43,Original,72.5
lee2019,43,EA,74.5
lee2019,43,EA+TENT,75.5
lee2019,43,EA+AdaBN,75.5
lee2019,43,EA+Snapshot+AdaBN,77.5
lee2019,43,EA+SupCon,69.5
lee2019,43,EA+SupCon+AdaBN,76.5
lee2019,43,EA+SupCon+CORAL,74.0
lee2019,44,Original,91.5
lee2019,44,EA,87.0
lee2019,44,EA+TENT,85.0
lee2019,44,EA+AdaBN,92.5
lee2019,44,EA+Snapshot+AdaBN,89.5
lee2019,44,EA+SupCon,90.5
lee2019,44,EA+SupCon+AdaBN,91.5
lee2019,44,EA+SupCon+CORAL,88.5
lee2019,45,Original,81.0
lee2019,45,EA,77.0
lee2019,45,EA+TENT,79.0
lee2019,45,EA+AdaBN,77.0
lee2019,45,EA+Snapshot+AdaBN,77.5
lee2019,45,EA+SupCon,76.0
lee2019,45,EA+SupCon+AdaBN,78.0
lee2019,45,EA+SupCon+CORAL,74.0
lee2019,46,Original,78.0
lee2019,46,EA,74.5
lee2019,46,EA+TENT,77.0
lee2019,46,EA+AdaBN,76.5
lee2019,46,EA+Snapshot+AdaBN,76.5
lee2019,46,EA+SupCon,72.5
lee2019,46,EA+SupCon+AdaBN,81.0
lee2019,46,EA+SupCon+CORAL,71.5
lee2019,47,Original,70.5
lee2019,47,EA,76.5
lee2019,47,EA+TENT,77.5
lee2019,47,EA+AdaBN,79.0
lee2019,47,EA+Snapshot+AdaBN,78.5
lee2019,47,EA+SupCon,74.5
lee2019,47,EA+SupCon+AdaBN,77.0
lee2019,47,EA+SupCon+CORAL,76.5
lee2019,48,Original,52.0
lee2019,48,EA,58.5
lee2019,48,EA+TENT,56.0
lee2019,48,EA+AdaBN,58.0
lee2019,48,EA+Snapshot+AdaBN,56.5
lee2019,48,EA+SupCon,56.5
lee2019,48,EA+SupCon+AdaBN,57.0
lee2019,48,EA+SupCon+CORAL,60.0
lee2019,49,Original,61.0
lee2019,49,EA,68.0
lee2019,49,EA+TENT,72.5
lee2019,49,EA+AdaBN,73.5
lee2019,49,EA+Snapshot+AdaBN,76.0
lee2019,49,EA+SupCon,69.0
lee2019,49,EA+SupCon+AdaBN,69.5
lee2019,49,EA+SupCon+CORAL,70.0
lee2019,50,Original,49.5
lee2019,50,EA,51.0
lee2019,50,EA+TENT,58.0
lee2019,50,EA+AdaBN,55.0
lee2019,50,EA+Snapshot+AdaBN,56.5
lee2019,50,EA+SupCon,50.5
lee2019,50,EA+SupCon+AdaBN,56.0
lee2019,50,EA+SupCon+CORAL,54.5
lee2019,51,Original,56.5
lee2019,51,EA,68.5
lee2019,51,EA+TENT,66.5
lee2019,51,EA+AdaBN,63.0
lee2019,51,EA+Snapshot+AdaBN,66.0
lee2019,51,EA+SupCon,64.5
lee2019,51,EA+SupCon+AdaBN,65.0
lee2019,51,EA+SupCon+CORAL,64.0
lee2019,52,Original,66.5
lee2019,52,EA,65.5
lee2019,52,EA+TENT,68.5
lee2019,52,EA+AdaBN,65.5
lee2019,52,EA+Snapshot+AdaBN,72.5
lee2019,52,EA+SupCon,70.5
lee2019,52,EA+SupCon+AdaBN,70.0
lee2019,52,EA+SupCon+CORAL,65.5
lee2019,53,Original,62.0
lee2019,53,EA,64.0
lee2019,53,EA+TENT,59.5
lee2019,53,EA+AdaBN,61.0
lee2019,53,EA+Snapshot+AdaBN,67.0
lee2019,53,EA+SupCon,60.5
lee2019,53,EA+SupCon+AdaBN,61.0
lee2019,53,EA+SupCon+CORAL,58.5
lee2019,54,Original,58.0
lee2019,54,EA,61.5
lee2019,54,EA+TENT,61.5
lee2019,54,EA+AdaBN,64.0
lee2019,54,EA+Snapshot+AdaBN,62.0
lee2019,54,EA+SupCon,61.5
lee2019,54,EA+SupCon+AdaBN,57.5
lee2019,54,EA+SupCon+CORAL,64.0
