dataset,subject,method,acc
cho2017,10,EA,86.5
cho2017,10,EA+TENT,87.5
cho2017,10,EA+AdaBN,85.5
cho2017,10,EA+Snapshot+AdaBN,84.0
cho2017,10,EA+SupCon,87.5
cho2017,10,EA+SupCon+AdaBN,88.0
cho2017,10,EA+SupCon+CORAL,86.5
cho2017,11,Original,60.5
cho2017,11,EA,71.0
cho2017,11,EA+TENT,68.0
cho2017,11,EA+AdaBN,74.5
cho2017,11,EA+Snapshot+AdaBN,72.0
cho2017,11,EA+SupCon,72.5
cho2017,11,EA+SupCon+AdaBN,73.0
cho2017,11,EA+SupCon+CORAL,76.0
cho2017,12,Original,55.0
cho2017,12,EA,71.5
cho2017,12,EA+TENT,74.5
cho2017,12,EA+AdaBN,73.0
cho2017,12,EA+Snapshot+AdaBN,73.0
cho2017,12,EA+SupCon,72.0
cho2017,12,EA+SupCon+AdaBN,74.0
cho2017,12,EA+SupCon+CORAL,72.5
cho2017,13,Original,55.5
cho2017,13,EA,53.0
cho2017,13,EA+TENT,52.0
cho2017,13,EA+AdaBN,55.0
cho2017,13,EA+Snapshot+AdaBN,55.0
cho2017,13,EA+SupCon,52.5
cho2017,13,EA+SupCon+AdaBN,52.0
cho2017,13,EA+SupCon+CORAL,56.5
cho2017,14,Original,90.5
cho2017,14,EA,95.0
cho2017,14,EA+TENT,96.0
cho2017,14,EA+AdaBN,91.5
cho2017,14,EA+Snapshot+AdaBN,91.0
cho2017,14,EA+SupCon,93.5
cho2017,14,EA+SupCon+AdaBN,93.5
cho2017,14,EA+SupCon+CORAL,94.0
cho2017,15,Original,63.5
cho2017,15,EA,80.0
cho2017,15,EA+TENT,78.0
cho2017,15,EA+AdaBN,80.5
cho2017,15,EA+Snapshot+AdaBN,79.0
cho2017,15,EA+SupCon,82.0
cho2017,15,EA+SupCon+AdaBN,80.5
cho2017,15,EA+SupCon+CORAL,81.0
cho2017,16,Original,62.0
cho2017,16,EA,63.0
cho2017,16,EA+TENT,68.0
cho2017,16,EA+AdaBN,67.5
cho2017,16,EA+Snapshot+AdaBN,65.5
cho2017,16,EA+SupCon,69.5
