dataset,subject,Original,EA,EA+TENT,EA+AdaBN,EA+Snapshot+AdaBN,EA+SupCon,EA+SupCon+AdaBN,EA+SupCon+CORAL,original_illiterate,Original_pass70,Original_delta_original,Original_delta_ea,EA_pass70,EA_delta_original,EA_delta_ea,EA+TENT_pass70,EA+TENT_delta_original,EA+TENT_delta_ea,EA+AdaBN_pass70,EA+AdaBN_delta_original,EA+AdaBN_delta_ea,EA+Snapshot+AdaBN_pass70,EA+Snapshot+AdaBN_delta_original,EA+Snapshot+AdaBN_delta_ea,EA+SupCon_pass70,EA+SupCon_delta_original,EA+SupCon_delta_ea,EA+SupCon+AdaBN_pass70,EA+SupCon+AdaBN_delta_original,EA+SupCon+AdaBN_delta_ea,EA+SupCon+CORAL_pass70,EA+SupCon+CORAL_delta_original,EA+SupCon+CORAL_delta_ea,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta_original,best_combined_delta_ea
lee2019,34,46.0,45.0,50.0,48.0,50.0,47.0,45.5,49.0,True,False,0.0,1.0,False,-1.0,0.0,False,4.0,5.0,False,2.0,3.0,False,4.0,5.0,False,1.0,2.0,False,-0.5,0.5,False,3.0,4.0,False,True,0,50.0,EA+Snapshot+AdaBN,4.0,5.0
lee2019,35,50.5,54.0,54.5,52.0,58.0,54.5,52.5,57.0,True,False,0.0,-3.5,False,3.5,0.0,False,4.0,0.5,False,1.5,-2.0,False,7.5,4.0,False,4.0,0.5,False,2.0,-1.5,False,6.5,3.0,False,True,0,58.0,EA+Snapshot+AdaBN,7.5,4.0
lee2019,36,92.5,95.0,95.5,94.0,95.5,94.5,94.0,95.5,False,True,0.0,-2.5,True,2.5,0.0,True,3.0,0.5,True,1.5,-1.0,True,3.0,0.5,True,2.0,-0.5,True,1.5,-1.0,True,3.0,0.5,True,False,4,95.5,EA+Snapshot+AdaBN,3.0,0.5
lee2019,37,96.5,96.0,96.0,97.0,96.0,96.0,95.5,96.0,False,True,0.0,0.5,True,-0.5,0.0,True,-0.5,0.0,True,0.5,1.0,True,-0.5,0.0,True,-0.5,0.0,True,-1.0,-0.5,True,-0.5,0.0,True,False,4,96.0,EA+Snapshot+AdaBN,-0.5,0.0
lee2019,38,61.5,57.5,54.5,58.0,60.5,61.5,58.5,58.5,True,False,0.0,4.0,False,-4.0,0.0,False,-7.0,-3.0,False,-3.5,0.5,False,-1.0,3.0,False,0.0,4.0,False,-3.0,1.0,False,-3.0,1.0,False,True,0,61.5,EA+SupCon,0.0,4.0
lee2019,39,82.5,87.0,82.5,87.0,84.5,85.0,86.0,85.0,False,True,0.0,-4.5,True,4.5,0.0,True,0.0,-4.5,True,4.5,0.0,True,2.0,-2.5,True,2.5,-2.0,True,3.5,-1.0,True,2.5,-2.0,True,False,4,86.0,EA+SupCon+AdaBN,3.5,-1.0
lee2019,40,60.0,69.0,64.0,61.0,65.0,61.0,65.5,61.5,True,False,0.0,-9.0,False,9.0,0.0,False,4.0,-5.0,False,1.0,-8.0,False,5.0,-4.0,False,1.0,-8.0,False,5.5,-3.5,False,1.5,-7.5,False,True,0,65.5,EA+SupCon+AdaBN,5.5,-3.5
lee2019,41,56.5,59.5,58.0,59.5,63.0,56.5,60.5,56.5,True,False,0.0,-3.0,False,3.0,0.0,False,1.5,-1.5,False,3.0,0.0,False,6.5,3.5,False,0.0,-3.0,False,4.0,1.0,False,0.0,-3.0,False,True,0,63.0,EA+Snapshot+AdaBN,6.5,3.5
lee2019,42,68.5,70.5,72.0,69.5,71.0,66.5,71.0,67.0,True,False,0.0,-2.0,True,2.0,0.0,True,3.5,1.5,False,1.0,-1.0,True,2.5,0.5,False,-2.0,-4.0,True,2.5,0.5,False,-1.5,-3.5,True,False,2,71.0,EA+Snapshot+AdaBN,2.5,0.5
lee2019,43,72.5,74.5,75.5,75.5,77.5,69.5,76.5,74.0,False,True,0.0,-2.0,True,2.0,0.0,True,3.0,1.0,True,3.0,1.0,True,5.0,3.0,False,-3.0,-5.0,True,4.0,2.0,True,1.5,-0.5,True,False,3,77.5,EA+Snapshot+AdaBN,5.0,3.0
lee2019,44,91.5,87.0,85.0,92.5,89.5,90.5,91.5,88.5,False,True,0.0,4.5,True,-4.5,0.0,True,-6.5,-2.0,True,1.0,5.5,True,-2.0,2.5,True,-1.0,3.5,True,0.0,4.5,True,-3.0,1.5,True,False,4,91.5,EA+SupCon+AdaBN,0.0,4.5
lee2019,45,81.0,77.0,79.0,77.0,77.5,76.0,78.0,74.0,False,True,0.0,4.0,True,-4.0,0.0,True,-2.0,2.0,True,-4.0,0.0,True,-3.5,0.5,True,-5.0,-1.0,True,-3.0,1.0,True,-7.0,-3.0,True,False,4,78.0,EA+SupCon+AdaBN,-3.0,1.0
lee2019,46,78.0,74.5,77.0,76.5,76.5,72.5,81.0,71.5,False,True,0.0,3.5,True,-3.5,0.0,True,-1.0,2.5,True,-1.5,2.0,True,-1.5,2.0,True,-5.5,-2.0,True,3.0,6.5,True,-6.5,-3.0,True,False,4,81.0,EA+SupCon+AdaBN,3.0,6.5
lee2019,47,70.5,76.5,77.5,79.0,78.5,74.5,77.0,76.5,False,True,0.0,-6.0,True,6.0,0.0,True,7.0,1.0,True,8.5,2.5,True,8.0,2.0,True,4.0,-2.0,True,6.5,0.5,True,6.0,0.0,True,False,4,78.5,EA+Snapshot+AdaBN,8.0,2.0
lee2019,48,52.0,58.5,56.0,58.0,56.5,56.5,57.0,60.0,True,False,0.0,-6.5,False,6.5,0.0,False,4.0,-2.5,False,6.0,-0.5,False,4.5,-2.0,False,4.5,-2.0,False,5.0,-1.5,False,8.0,1.5,False,True,0,60.0,EA+SupCon+CORAL,8.0,1.5
lee2019,49,61.0,68.0,72.5,73.5,76.0,69.0,69.5,70.0,True,False,0.0,-7.0,False,7.0,0.0,True,11.5,4.5,True,12.5,5.5,True,15.0,8.0,False,8.0,1.0,False,8.5,1.5,True,9.0,2.0,True,False,2,76.0,EA+Snapshot+AdaBN,15.0,8.0
lee2019,50,49.5,51.0,58.0,55.0,56.5,50.5,56.0,54.5,True,False,0.0,-1.5,False,1.5,0.0,False,8.5,7.0,False,5.5,4.0,False,7.0,5.5,False,1.0,-0.5,False,6.5,5.0,False,5.0,3.5,False,True,0,56.5,EA+Snapshot+AdaBN,7.0,5.5
lee2019,51,56.5,68.5,66.5,63.0,66.0,64.5,65.0,64.0,True,False,0.0,-12.0,False,12.0,0.0,False,10.0,-2.0,False,6.5,-5.5,False,9.5,-2.5,False,8.0,-4.0,False,8.5,-3.5,False,7.5,-4.5,False,True,0,66.0,EA+Snapshot+AdaBN,9.5,-2.5
lee2019,52,66.5,65.5,68.5,65.5,72.5,70.5,70.0,65.5,True,False,0.0,1.0,False,-1.0,0.0,False,2.0,3.0,False,-1.0,0.0,True,6.0,7.0,True,4.0,5.0,True,3.5,4.5,False,-1.0,0.0,True,False,3,72.5,EA+Snapshot+AdaBN,6.0,7.0
lee2019,53,62.0,64.0,59.5,61.0,67.0,60.5,61.0,58.5,True,False,0.0,-2.0,False,2.0,0.0,False,-2.5,-4.5,False,-1.0,-3.0,False,5.0,3.0,False,-1.5,-3.5,False,-1.0,-3.0,False,-3.5,-5.5,False,True,0,67.0,EA+Snapshot+AdaBN,5.0,3.0
lee2019,54,58.0,61.5,61.5,64.0,62.0,61.5,57.5,64.0,True,False,0.0,-3.5,False,3.5,0.0,False,3.5,0.0,False,6.0,2.5,False,4.0,0.5,False,3.5,0.0,False,-0.5,-4.0,False,6.0,2.5,False,True,0,64.0,EA+SupCon+CORAL,6.0,2.5
