dataset,subject,n_trials,n_channels,class0,class1,class_cov_riemann_dist,csp_centroid_dist,csp_centroid_cosine,csp_fisher_ratio
lee2019,1,200,62,0,1,2.2348881292893954,0.9830953208779016,0.9810189366374019,0.24246016953273675
lee2019,2,200,62,0,1,1.3951832849901147,0.8676457152780939,0.9815401906018965,1.1280347854151613
lee2019,3,200,62,0,1,2.579314717885687,1.8839193631452118,0.9366203769475758,0.5540769187394037
lee2019,4,200,62,0,1,1.5160967464463901,0.6935753895059646,0.9898450132950699,0.1426791637282018
lee2019,5,200,62,0,1,2.6511286514282406,1.0567562908769614,0.9783880891856778,0.43271449538596424
lee2019,6,200,62,0,1,1.9388966513214763,1.1324874063920833,0.9728432749232699,0.3800087832100919
lee2019,7,200,62,0,1,1.7119882881898865,0.9960331912631321,0.9780670607781601,0.3694941773550517
lee2019,8,200,62,0,1,1.6930885458550222,0.8565841424379239,0.984769686842363,0.2471175300173332
lee2019,9,200,62,0,1,1.3999885740259947,0.8826935881154089,0.9811458112679275,0.7961203330592593
lee2019,10,200,62,0,1,2.278505289068969,0.9515080906801474,0.9823254333999264,0.23852700726601694
lee2019,11,200,62,0,1,1.374043191330223,0.5545302026569899,0.9945957426829443,0.03656428481446013
lee2019,12,200,62,0,1,1.5781211917548446,0.8641975906679819,0.9829687188131061,0.34482535556403016
lee2019,13,200,62,0,1,1.6181710184220128,0.8449904995269311,0.9836176827384574,0.3954607348875098
lee2019,14,200,62,0,1,1.7392186734178383,0.8917714517357305,0.984178095400808,0.1448602229110653
lee2019,15,200,62,0,1,2.581814779071527,0.9817804341551596,0.9813150907324062,0.21955231911472972
lee2019,16,200,62,0,1,2.982824018114563,1.0557414354223564,0.9813268163719251,0.12946898542329488
lee2019,17,200,62,0,1,1.5215148048283578,0.8560882257636958,0.9830684721722459,0.3901092741841159
lee2019,18,200,62,0,1,2.1250784285449114,1.3402146562539525,0.9610968627445639,0.6848764915610194
lee2019,19,200,62,0,1,2.100564028716023,1.2246776719936068,0.974037200534438,0.2708126085062964
lee2019,20,200,62,0,1,1.6663064669906082,0.7587678990418045,0.9868725054935048,0.28869175138100106
lee2019,21,200,62,0,1,2.377231082392249,1.8481164051824273,0.9248521384035148,3.018680882363658
lee2019,22,200,62,0,1,1.4748952259508092,0.7685244244687384,0.9855987580522497,0.646436199902246
lee2019,23,200,62,0,1,1.597660917687136,1.142839189503528,0.9687725017468818,1.6152504224789537
lee2019,24,200,62,0,1,1.4697433848638959,0.8571294496619839,0.9823992087474724,0.6736883302120252
lee2019,25,200,62,0,1,1.6844620313317615,0.8759218820885705,0.9828022263362878,0.3296742663923852
lee2019,26,200,62,0,1,1.7764802530626724,0.5296393665581371,0.9934316063295574,0.23487500592047217
lee2019,27,200,62,0,1,1.5308803405806335,0.5595441193726146,0.99325652302779,0.10604090804482932
lee2019,28,200,62,0,1,1.7938903988251362,1.1784644376245519,0.9706868868341476,0.47237633214900004
lee2019,29,200,62,0,1,8.921562590080207,5.593410526351683,0.6804120869201148,2.006208197989868
lee2019,30,200,62,0,1,1.7178618444045202,0.6979777989858597,0.9903476747841705,0.1105479485960833
lee2019,31,200,62,0,1,1.6235337856593037,0.707738473858779,0.9897429466313784,0.17036371615040888
lee2019,32,200,62,0,1,2.6143960729262314,2.0692507833367357,0.9164098706550975,1.2854029287664943
lee2019,33,200,62,0,1,3.0769896341308165,1.456755541815337,0.9569521264825844,0.9427477760498971
lee2019,34,200,62,0,1,1.8553787504573742,0.8162974135267466,0.9871963488908599,0.09360931591204161
lee2019,35,200,62,0,1,1.4182165489498268,0.8123878020290343,0.9856868785765376,0.2042390169053915
lee2019,36,200,62,0,1,3.7076414745454693,2.9352045910168045,0.8451464499498031,3.3766924035325343
lee2019,37,200,62,0,1,2.568950189583683,1.8375389557702817,0.9282240632926075,1.7025914798546646
lee2019,38,200,62,0,1,1.8007043739653021,0.5486912025765083,0.9935407912115762,0.10416265627335512
lee2019,39,200,62,0,1,2.630188773802867,0.8771641399579141,0.9835171592326766,0.36542339059067397
lee2019,40,200,62,0,1,1.5753337584033846,0.6601550741662634,0.9905244915203611,0.12825931991675094
lee2019,41,200,62,0,1,1.310500599282475,0.6566988786699227,0.9906056090815764,0.13847008202439623
lee2019,42,200,62,0,1,1.5970241638029168,0.7207108171430806,0.9882227077207871,0.23290604267572707
lee2019,43,200,62,0,1,1.5528776255805097,0.8652625848868453,0.9818689236298052,0.8171213198629358
lee2019,44,200,62,0,1,2.5859436714308406,1.7872310459835075,0.9416917000510175,0.5505245162665185
lee2019,45,200,62,0,1,1.7721464478378148,1.2149675633375359,0.9717479507690928,0.292393980020017
lee2019,46,200,62,0,1,3.2213936383229744,0.847982046205429,0.9863619564046479,0.20869205670045923
lee2019,47,200,62,0,1,1.8593689690753223,0.8744079342671888,0.9833836018970676,0.23915502715837866
lee2019,48,200,62,0,1,2.689791216471217,0.5592214868667379,0.9935791875614645,0.0929260480433622
lee2019,49,200,62,0,1,1.5513362827504436,0.9848517502268289,0.9765587820967813,1.1720016509566642
lee2019,50,200,62,0,1,1.336952703535807,0.7718640339850777,0.9865644224592679,0.21856116439326367
lee2019,51,200,62,0,1,1.899830730241269,0.7329525414970756,0.990651594144508,0.06904295179424876
